bid_no,name,city,state,amount,bid,accepted,declined,,
1,G. F Wonk & Co,Philadelphia,PA,5,4.125,5,,206,1
,,,,6,4,6,,206,2
,,,,10,3.75,10,,206,3
,,,,5,3.875,5,,206,4
,,,,13,3.06,13,,206,5
,,,,6,3.375,6,,206,6
,,,,5,3,,5,206,7
2,"Jay, Cooke & Co.",Washington,DC,200,4,200,,206,8
,,,,200,3.75,200,,206,9
,,,,200,3.625,200,,206,10
,,,,100,3.5,100,,206,11
,,,,50,3.3,50,,206,12
,,,,50,3.25,50,,206,13
,,,,50,3.125,50,,206,14
,,,,250,3.05,148.6,101.4,206,15
,,,,150,3,,150,206,16
,,,,250,2.75,,250,206,17
3,Gebhard Fire Insurance Company,Washington,DC,5,4.05,5,,206,18
,,,,5,3.875,5,,206,19
,,,,5,3.625,5,,206,20
,,,,5,3.375,5,,206,21
,,,,5,3.125,5,,206,22
4,Florence & Conant,Washington,DC,1,4,1,,206,23
5,G. D. Rosengarten,Philadelphia,PA,5,4,5,,206,24
6,Jacob L. Smith,Philadelphia,PA,0.75,4,0.75,,206,25
7,C. S. Darrow,Boston,MA,1,4,1,,206,26
8,Vermilye & Co.,New York,NY,10,4,10,,206,27
,,,,50,3.8,50,,206,28
,,,,20,3.75,20,,206,29
,,,,20,3.6,20,,206,30
,,,,50,3.55,50,,206,31
,,,,20,3.5,20,,206,32
,,,,100,3.31,100,,206,33
,,,,20,3.1,20,,206,34
,,,,50,3.05,29.7,20.3,206,35
,,,,10,3,,10,206,36
,,,,20,2.9,,20,206,37
,,,,50,2.8,,50,206,38
,,,,50,2.6,,50,206,39
,,,,20,2.55,,20,206,40
,,,,10,2.5,,10,206,41
9,Richard Vallant,New York,NY,7.5,4,7.5,,206,42
10,Farmers and Mechanics' Bank,Philadelphia,PA,50,3.85,50,,206,43
,,,,100,3.65,100,,206,44
,,,,100,3.35,100,,206,45
,,,,250,2.85,,250,206,46
11,E. W. Clark & Co.,Philadelphia,PA,25,3.79,25,,206,47
,,,,50,3.57,50,,206,48
,,,,50,3.29,50,,206,49
,,,,50,3.06,50,,206,50
12,John Gardner,Boston,MA,2,3.75,2,,206,51
,,,,3,3.5,3,,206,52
13,"Brewster, Sweet & Co.",Boston,MA,15,3.75,15,,206,53
,,,,100,3.5,100,,206,54
,,,,100,3.25,100,,206,55
,,,,100,3.125,100,,206,56
,,,,10,3.125,10,,206,57
14,"G. S. Robbins & Sons, agents",New York,NY,20,3.75,20,,206,58
,,,,20,3.5,20,,206,59
15,Roosevelt & Son,New York,NY,100,3.75,100,,206,60
,,,,100,3.5,100,,206,61
,,,,100,3.25,100,,206,62
16,Jeremiah Pangburn,New York,,5,3.7,5,,206,63
17,Benjamin Tomes,New York,,5.55,3.6,5.55,,206,64
,,,,5,3.4,5,,206,65
18,Daniel Le Roy,New York,,5,3.55,5,,206,66
,,,,5,3.4,5,,206,67
19,Thomas V. C. Morgan,Philadelphia,PA,1.6,3.6,1.6,,206,68
20,"Edward Haight, president",New York,NY,150,3.55,150,,206,69
,,,,150,3.3,150,,206,70
,,,,150,3.05,89.2,60.8,206,71
21,James A. Cowing,New York,NY,25,3.55,25,,206,72
,,,,,,,,207,1
22,Samuel A. Way,Boston,MA,10,3.5,10,,207,2
,,,,10,3,,10,207,3
,,,,20,2.5,,20,207,4
,,,,10,1.5,,10,207,5
23,Cambridge City Bank,Cambridge,MA,10,3.5,10,,207,6
24,Henry P. Ketchum,New York,NY,10,3.5,10,,207,7
25,"Read, Drexel & Co.",New York,NY,21,3.5,21,,207,8
,,,,50,3,,50,207,9
,,,,754,2.85,,754,207,10
,,,,50,2.1,,50,207,11
,,,,75,2,,75,207,12
,,,,50,1,,50,207,13
26,J. De Riegles,Cincinnati,OH,0.25,3.5,0.25,,207,14
27,Benkard & Hutton,New York,NY,250,3.5,250,,207,15
,,,,250,3.375,250,,207,16
,,,,250,3.25,250,,207,17
,,,,250,3.125,250,,207,18
28,T. D. Amstrong,Mount Holly,NJ,5,3.5,5,,207,19
,,,,5,3,,5,207,20
29,"H. C. Young, cashier",Philadelphia,PA,25,3.5,25,,207,21
,,,,25,3,,25,207,22
,,,,25,2.5,,25,207,23
,,,,25,2,,25,207,24
30,William Amer,Philadelphia,PA,5,3.5,5,,207,25
,,,,5,3.25,5,,207,26
31,"F. Tomes, Jr. ",New York,NY,5,3.5,5,,207,27
32,George W. Welsh,New York,NY,10,3.5,10,,207,28
33,"Jay, Cooke & Co.",Washington,DC,25,3.5,25,,207,29
,,,,25,3.25,25,,207,30
,,,,25,3.125,25,,207,31
,,,,25,3,,25,207,32
34,"Clarke, Dodge & Co.",New York,NY,50,3.5,50,,207,33
,,,,100,3.375,100,,207,34
,,,,100,3.25,100,,207,35
,,,,100,3.125,100,,207,36
35,Judd Linseed and Sperm Oil Co.,,,50,3.5,50,,207,37
36,George and Samuel Brown,,,25,3.5,25,,207,38
,,,,25,3.25,25,,207,39
,,,,25,3,,25,207,40
,,,,25,2.75,,25,207,41
37,"John De Voo, executor",,,3.4,3.5,3.4,,207,42
38,Clarkson Brothers,,,10,3.41,10,,207,43
,,,,10,3.17,10,,207,44
,,,,10,3.15,10,,207,45
,,,,10,3.1,10,,207,46
39,James H. Banker,,,20,3.4,20,,207,47
,,,,20,3.375,20,,207,48
,,,,20,3.335,20,,207,49
,,,,20,3.1,20,,207,50
,,,,20,3,,20,207,51
40,Stuart & Brother,Philadelphia,PA,25,3.38,25,,207,52
,,,,25,3.02,,25,207,53
,,,,25,2.9,,25,207,54
,,,,25,2.8,,25,207,55
41,Corn Exchange Bank,,,20,3.375,20,,207,56
,,,,20,3.25,20,,207,57
,,,,20,3.125,20,,207,58
,,,,20,3,,20,207,59
,,,,20,2.75,,20,207,60
42,Robert Suyvesant,New York,NY,0.5,3.375,0.5,,207,61
,,,,0.5,2.65,,0.5,207,62
43,Drexel & Co.,Philadelphia,PA,150,3.375,150,,207,63
,,,,250,3.02,,250,207,64
,,,,150,2.91,,150,207,65
,,,,150,2.8,,150,207,66
44,"Livermore, Clews & Co.",New York,NY,5,3.375,5,,207,67
,,,,10,3.25,10,,207,68
,,,,20,3.125,20,,207,69
,,,,30,3.1,30,,207,70
,,,,30,3.05,17.8,12.2,207,71
,,,,50,3.01,,50,207,72
,,,,50,3,,50,207,73
45,E. D. Stanton,,,100,3.36,100,,207,74
,,,,100,3.3,100,,207,75
,,,,100,3.25,100,,207,76
46,James F. Penniman,,,3,3.35,3,,207,77
47,Merchants' Bank,,,50,3.35,50,,207,78
,,,,50,3.25,50,,207,79
,,,,50,2.9,,50,207,80
,,,,50,2.75,,50,207,81
47,Merchants' Bank,New York,NY,100,2.5,,100,208,1
48,E. L. Boles,,,6,3.33,6,,208,2
49,"J. Van Duzer, president",,,20,3.31,20,,208,3
,,,,20,3.26,20,,208,4
,,,,20,3.13,20,,208,5
,,,,20,2.96,,20,208,6
,,,,20,2.76,,20,208,7
50,G. S. Robbins & Son,,,157,3.3,157,,208,8
,,,,150,3.2,150,,208,9
51,"John P. Yelverton, cashier",,,250,3.27,250,,208,10
,,,,250,3.23,250,,208,11
52,"Rittenhouse, Fant & Co.",Washington,DC,20,3.26,20,,208,12
,,,,20,3.25,20,,208,13
,,,,180,3.05,107.1,72.9,208,14
,,,,30,2.52,,30,208,15
53,"O. H. Schreiner, cashier",,,25,3.26,25,,208,16
,,,,25,3.06,25,,208,17
,,,,25,2.76,,25,208,18
,,,,25,2.56,,25,208,19
54,"E. W. Tallman, cashier",,,50,3.26,50,,208,20
,,,,50,3.2,50,,208,21
,,,,50,3.1,50,,208,22
,,,,50,3.05,29.7,20.3,208,23
55,"Ward, Campbell & Co.",,,60,3.25,60,,208,24
,,,,420,3.05,249.7,170.3,208,25
,,,,10,3,,10,208,26
,,,,250,2.75,,250,208,27
,,,,510,2.5,,510,208,28
56,B. M. Freleigh,Saugerties,NY,10,3.25,10,,208,29
,,,,5,3.125,5,,208,30
,,,,5,2.76,,5,208,31
57,John Gulliver,Philadelphia,PA,2,3.25,2,,208,32
58,D. C. Spooner,,,10,3.25,10,,208,33
59,"De Coursey, Lafourcade & Co.",,,6,3.25,6,,208,34
