name,city,state,amount,bid_low,bid_high,source
First National Bank,Portland,ME,310,104,104.55,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
E.T. Hillyer,Hartford,CT,60,104.01,,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
First National Bank,Buffalo,NY,55,104.3,104.65,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
"Benjamin Huntington, Treasurer",Norwich,CT,100,104.05,104.76,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
First National Bank,Hartford,CT,175,104,104.5,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
Tradesman's Bank,New York,NY,175,104,104.05,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
"Stimson, Frank & Co.",New York,NY,110,104,104.6,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
Bank of Commerce,New York,NY,400,104,,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
Colgate & Hoffman,New York,NY,80,104.02,,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
First National Bank,New York,NY,5000,104.03,,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
Second National Bank,Boston,MA,4250,104.03,,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
"Winslow, Lanier & Co.",New York,NY,200,104.03,,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
"Winslow, Lanier & Co.",New York,NY,100,104.25,,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
Third National Bank,New York,NY,500,140.03,,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
Vermilye & Co,New York,NY,1600,140.03,,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
New York Widow's and Orphan's Benefit Life Insurance Company,New York,NY,200,104.03,,"NEWS FROM WASHINGTON. (1864, Sep 10). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91838946?accountid=14784"
Bowery Savings' Bank,New York,NY,200,104.05,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Bowery Savings' Bank,New York,NY,100,105.05,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
First National Bank,St. Paul,MN,50,105,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Bank of Freemansburgh,New York,NY,20,105,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
R. N. Shoemaker,Cincinnati,OH,12,4.5,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Battongill Bank,,VT,10,6,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
R. W. Bush,Louiseville,KY,6,5,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
T. Steele,Louiseville,KY,10,5,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Thomas Cornell,Rondout,NY,25,4.125,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
First National Bank,Akron,OH,15,4.5,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Corn Exchange,Philadelphia,PA,60,4.05,4.3,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Fourth National Bank,Waynesboro,PA,25,4.5,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
J. Caswell & Co,New York,NY,50,4.5,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Granite National Bank,,ME,15,4.08,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Home Insurance Company,New Haven,CT,22,4.05,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
South Berwick Bank,,ME,10,4.25,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
J. Gulliver,Philadelphia,PA,15,4.2,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
J. Gulliver,Philadelphia,PA,15,4.125,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
People's Bank,Baltimore,MD,10,4.25,4.5,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
"Phaddock, Reed & Co.",Philadelphia,PA,20,4.5,5,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Philadelphia Bank,Philadelphia,PA,200,4.5,4.75,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Bank of State of New York,New York,NY,250,4.05,4.25,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Market Bank,New York,NY,50,4.5,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Ninth National Bank,New York,NY,500,104.103,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
"W.S. Huntington, Cashier First National Bank",Washington,DC,1000,104.103,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
"W.S. Huntington, Cashier First National Bank",Washington,DC,600,104,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
"Livermore, Clews & Co.",,,2200,104.103,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
"Livermore, Clews & Co.",,,36,104,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
First National Bank,Philadelphia,PA,2000,104.103,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Stewart Brothers,Philadelphia,PA,200,104.103,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Drexel & Co,Philadelphia,PA,700,104.103,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
E.w. Clarke & Co,Philadelphia,PA,800,104.103,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Philadelphia Savings Fund Society,Philadelphia,PA,200,104.103,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Dwight & Co. ,Philadelphia,PA,500,104,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
J. Cooke & Co.,Washington,DC,2750,104.103,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Clarkson & Co.,Philadelphia,PA,50,104,104.25,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Central Bank,New York,NY,100,104,,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
"Phelps, Dodge & Co.",,,200,104,102,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Pittson (PA) Bank,,PA,,104.05,104.3,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Corn Exchange Bank,New York,NY,340,104.102,104.153,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
Farmers' and Mechanics' Bank,Philadelphia,PA,186,104,104.5,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
"William Kitchen, President",,,825,104,104.151,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
John J. Cisco,New York,NY,100,103,106,"NEWS FROM WASHINGTON. (1864, Sep 11). New York Times (1857-1922) Retrieved from http://search.proquest.com/docview/91857909?accountid=14784"
"Moris Ketchum, President of Fourth National Bank",New York,NY,6235,103.37,103.75,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
J. P. Elton,Waterbury,CT,20,101.55,,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
J. P. Elton,Waterbury,CT,10,102.05,,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
State Bank,Pawtucket,RI,10,102,,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
State Bank,Pawtucket,RI,5,104,,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
Miller's River Bank,Athol Depot,,10,103,,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
"Morrison, Blanchard & Co.",,,10,104.1,,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
"Morrison, Blanchard & Co.",,,5,104,,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
W. A. & M. White,,,20,103,,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
A. Wheelwright,,,250,101.125,,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
Joseph Lawrence,,,25,103.375,,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
W. H. Tillinghast,,,10,102.8,,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
J. N. Tappen,,,10,104,,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
E. D. Foster,,,500,102.5,,MONETARY AFFAIRS. New York Times (1857-1922). September 10 1864:2. Available from: http://search.proquest.com/docview/91829810?accountid=14784.
