"bidder_num","price","amount","accepted","auction","coupon_yield","yield","ytm"
1,96,2,2,"1861-02-13; Loan of Feb 1861",0.0625,0.0633327129596357,
2,94.01,10,10,"1861-02-13; Loan of Feb 1861",0.0638229975534518,0.065152406613485,
2,94.51,10,10,"1861-02-13; Loan of Feb 1861",0.0634853454660882,0.0646902062845126,
3,93.5,40,40,"1861-02-13; Loan of Feb 1861",0.0641711229946524,0.0656273833459003,
4,93,2,2,"1861-02-13; Loan of Feb 1861",0.0645161290322581,0.0660965597700572,
5,93,10,10,"1861-02-13; Loan of Feb 1861",0.0645161290322581,0.0660965597700572,
6,92.5,25,25,"1861-02-13; Loan of Feb 1861",0.0648648648648649,0.0665692647134308,
7,92.5,6,6,"1861-02-13; Loan of Feb 1861",0.0648648648648649,0.0665692647134308,
8,91,5,5,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
8,92,5,5,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0670455492060614,
8,92.5,5,5,"1861-02-13; Loan of Feb 1861",0.0648648648648649,0.0665692647134308,
8,93,5,5,"1861-02-13; Loan of Feb 1861",0.0645161290322581,0.0660965597700572,
8,93.5,5,5,"1861-02-13; Loan of Feb 1861",0.0641711229946524,0.0656273833459003,
9,90.1,30,0,"1861-02-13; Loan of Feb 1861",0.0665926748057714,0.0688890071912877,
9,91.1,25,25,"1861-02-13; Loan of Feb 1861",0.0658616904500549,0.0679120486527118,
9,92.1,20,20,"1861-02-13; Loan of Feb 1861",0.0651465798045603,0.0669500034593248,
9,93.1,15,15,"1861-02-13; Loan of Feb 1861",0.0644468313641246,0.0660024438185759,
9,94.1,10,10,"1861-02-13; Loan of Feb 1861",0.0637619553666312,0.0650689589362212,
9,95.1,10,10,"1861-02-13; Loan of Feb 1861",0.0630914826498423,0.0641491542421078,
9,96.1,10,10,"1861-02-13; Loan of Feb 1861",0.0624349635796046,0.0632426506557675,
10,92,3,3,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0670455492060614,
11,92,1,1,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0670455492060614,
12,91,10,10,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
12,92,20,20,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0670455492060614,
12,93,10,10,"1861-02-13; Loan of Feb 1861",0.0645161290322581,0.0660965597700572,
13,90.5,10,10,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
13,92,40,40,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0670455492060614,
14,91.5,25,25,"1861-02-13; Loan of Feb 1861",0.0655737704918033,0.0675254653203907,
15,90,10,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
15,91,10,10,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
15,91.5,10,10,"1861-02-13; Loan of Feb 1861",0.0655737704918033,0.0675254653203907,
15,92,10,10,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0670455492060614,
15,92.5,10,10,"1861-02-13; Loan of Feb 1861",0.0648648648648649,0.0665692647134308,
16,90,6,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
16,93,5,5,"1861-02-13; Loan of Feb 1861",0.0645161290322581,0.0660965597700572,
17,91.25,30,30,"1861-02-13; Loan of Feb 1861",0.0657534246575342,0.067766801799411,
18,90,5,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
18,90.26,25,25,"1861-02-13; Loan of Feb 1861",0.0664746288499889,0.0687316735008209,
18,91,5,5,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
18,92.26,31,31,"1861-02-13; Loan of Feb 1861",0.0650336006936917,0.0667974313608206,
19,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
19,91,60,60,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
19,91.5,50,50,"1861-02-13; Loan of Feb 1861",0.0655737704918033,0.0675254653203907,
19,92,10,10,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0670455492060614,
20,91.05,30,30,"1861-02-13; Loan of Feb 1861",0.0658978583196046,0.0679605387571654,
21,90,15,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
21,90.625,5,5,"1861-02-13; Loan of Feb 1861",0.0662068965517241,0.0683742175590892,
21,91.125,5,5,"1861-02-13; Loan of Feb 1861",0.065843621399177,0.0678878175837675,
21,91.625,20,20,"1861-02-13; Loan of Feb 1861",0.0654843110504775,0.0674051429396799,
21,92.125,5,5,"1861-02-13; Loan of Feb 1861",0.0651289009497965,0.066926139670493,
22,91,20,20,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
23,90,10,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
23,91,10,10,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
23,92,10,10,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0670455492060614,
24,91,2,2,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
25,91,2,2,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
26,91,5,5,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
27,91,8,8,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
28,90,25,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
28,90.5,28,28,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
28,91,28,28,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
28,92,25,25,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0670455492060614,
28,94,4,4,"1861-02-13; Loan of Feb 1861",0.0638297872340425,0.0651616854293356,
29,90,25,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
29,90.13,15,0,"1861-02-13; Loan of Feb 1861",0.0665705092643959,0.0688594772334641,
29,90.57,15,15,"1861-02-13; Loan of Feb 1861",0.0662471016893011,0.0684279513416112,
29,91.03,15,15,"1861-02-13; Loan of Feb 1861",0.0659123365923322,0.0679799452494826,
29,91.83,15,15,"1861-02-13; Loan of Feb 1861",0.0653381247958184,0.0672083105762765,
29,92.01,15,15,"1861-02-13; Loan of Feb 1861",0.06521030322791,0.0670359881015648,
30,90,10,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
30,90.5,10,10,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
30,91,20,20,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
30,91.5,10,10,"1861-02-13; Loan of Feb 1861",0.0655737704918033,0.0675254653203907,
31,90.5,100,100,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
31,91,100,100,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
32,90.75,5,5,"1861-02-13; Loan of Feb 1861",0.0661157024793388,0.0682522653231644,
33,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
33,91,50,50,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
34,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
34,91,50,50,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
35,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
35,91,50,50,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
36,90.41,10,10,"1861-02-13; Loan of Feb 1861",0.0663643402278509,0.0685845285753347,
