"bidder","city","state","amount","premium","page","accepted"
"Riggs & Co. ","Washington","DC",300,1,481,
"Riggs & Co. ","Washington","DC",2800,0.15,481,
"Lockwood & Co","New York","NY",200,0.03,481,
"Lockwood & Co","New York","NY",125,0.08,481,
"Lockwood & Co","New York","NY",125,0.13,481,
"Lockwood & Co","New York","NY",125,0.18,481,
"Lockwood & Co","New York","NY",125,0.23,481,
"Lockwood & Co","New York","NY",125,0.28,481,
"Lockwood & Co","New York","NY",75,0.33,481,
"Lockwood & Co","New York","NY",50,0.38,481,
"Lockwood & Co","New York","NY",50,0.43,481,
"J. W. Schmidt","New York","NY",35,0.51,481,
"C. H. Merryman","New York","NY",20,0.51,481,
"Julius Y. Dewey","Montpelier","VT",2,0,481,1
"Julius Y. Dewey","Montpelier","VT",5,0.075,481,
"Julius Y. Dewey","Montpelier","VT",5,0.115,481,
"Julius Y. Dewey","Montpelier","VT",5,0.26,481,
"Julius Y. Dewey","Montpelier","VT",5,0.55,481,
"Julius Y. Dewey","Montpelier","VT",3,0.76,481,
"Julius Y. Dewey","Montpelier","VT",2,1,481,
"Julius Y. Dewey","Montpelier","VT",3,1.07,481,
"A. Muirhead","New York","NY",8,0.5,481,
"Isaac Bell, Jr. ","New York","NY",100,0.25,481,
"Dry Dock Savings Institution","New York","NY",25,0.25,481,
"W. B. Scott","New York","NY",19,0,481,1
"W. B. Scott","New York","NY",25,0.05,481,
"Gabriel Mead & W. H. Carter","New York","NY",10,0.375,481,
"Gabriel Mead & W. H. Carter","New York","NY",10,0.5,481,
"Gabriel Mead & W. H. Carter","New York","NY",10,0.625,481,
"Gabriel Mead, trustee","New York","NY",10,0.375,481,
"Gabriel Mead, trustee","New York","NY",10,0.5,481,
"Gabriel Mead, trustee","New York","NY",12,0.625,481,
"W. B. Scott & Co","New York","NY",25,0.1,481,
"W. B. Scott & Co","New York","NY",25,0.25,481,
"W. B. Scott & Co","New York","NY",25,0.5,481,
"H. J. Morgan & Co","New York","NY",9,0,481,1
