"name","announcement","close","description"
"1861-02-23; Loan of February 1861",1861-02-13,1861-02-23,"Loan of February, 1861 (Ac5 of February 8, 1861)"
"1861-03-22; Loan of February 1861",1861-03-22,1861-04-02,"Loan of February, 1861 (Act of February 8, 1861)"
"1861-05-11; Loan of February 1861",1861-05-11,1861-05-25,"Loan of February, 1861 (Act of February 8, 1861)"
"1864-06-15; Sixes of 1881",1864-06-04,1864-06-15,"Sixes of 1881"
"1860-10-22; Loan of 1860",1860-09-08,1860-10-22,"Loan of 1860 (Fives of 1871)"
"1861-04-06; Treasury Notes of 1861",1861-04-06,1861-04-11,"Treasury Notes of 1861 (Two-year)"
"1862-11-10; Seven-Thirties of 1861",1862-11-10,1862-11-17,"Seven-Thirties of 1861"
"1848-02-09; Loan of 1847",1848-02-09,,"1847-02-09; Loan of 1847"
"1848-04-17; Loan of 1848",1848-04-17,,"Loan of 1848 (Sixes of 1848)"
"1843-04-02; Loan of 1843",1843-04-02,,"1843-04-02; Loan of 1843"
