"series","date","issue","url","volume","value"
"california_1870","1855-08-24","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334&img=1&zoom=3&hl=en&sig=ACfU3U2oYh61XXl9QiY4snxeiy6fFTFDMg&ci=117%2C659%2C752%2C250&edge=0",10,87
"california_1870","1855-08-31","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334&img=1&zoom=3&hl=en&sig=ACfU3U2oYh61XXl9QiY4snxeiy6fFTFDMg&ci=117%2C659%2C752%2C250&edge=0",10,87
"california_1870","1855-09-07","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334&img=1&zoom=3&hl=en&sig=ACfU3U2oYh61XXl9QiY4snxeiy6fFTFDMg&ci=117%2C659%2C752%2C250&edge=0",10,88
"california_1870","1855-09-14","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334&img=1&zoom=3&hl=en&sig=ACfU3U2oYh61XXl9QiY4snxeiy6fFTFDMg&ci=117%2C659%2C752%2C250&edge=0",10,87.5
"california_1870","1855-09-21","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334&img=1&zoom=3&hl=en&sig=ACfU3U2oYh61XXl9QiY4snxeiy6fFTFDMg&ci=117%2C659%2C752%2C250&edge=0",10,87
"california_1870","1855-09-28","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414&img=1&zoom=3&hl=en&sig=ACfU3U3NfnmFeVQSYB-8ZPlTwKZO1eNFJg&ci=149%2C865%2C762%2C272&edge=0",10,87.25
"california_1870","1855-10-05","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414&img=1&zoom=3&hl=en&sig=ACfU3U3NfnmFeVQSYB-8ZPlTwKZO1eNFJg&ci=149%2C865%2C762%2C272&edge=0",10,86
"california_1870","1855-10-12","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414&img=1&zoom=3&hl=en&sig=ACfU3U3NfnmFeVQSYB-8ZPlTwKZO1eNFJg&ci=149%2C865%2C762%2C272&edge=0",10,84
"california_1870","1855-10-26","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414&img=1&zoom=3&hl=en&sig=ACfU3U3NfnmFeVQSYB-8ZPlTwKZO1eNFJg&ci=149%2C865%2C762%2C272&edge=0",10,85
"california_1870","1855-11-02","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495&img=1&zoom=3&hl=en&sig=ACfU3U2ayfikPn389si4uKSlaFfH9QrPag&ci=94%2C899%2C775%2C267&edge=0",10,87
"california_1870","1855-11-09","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495&img=1&zoom=3&hl=en&sig=ACfU3U2ayfikPn389si4uKSlaFfH9QrPag&ci=94%2C899%2C775%2C267&edge=0",10,84.5
"california_1870","1855-11-16","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495&img=1&zoom=3&hl=en&sig=ACfU3U2ayfikPn389si4uKSlaFfH9QrPag&ci=94%2C899%2C775%2C267&edge=0",10,84
"california_1870","1855-11-23","1855-11-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495&img=1&zoom=3&hl=en&sig=ACfU3U2ayfikPn389si4uKSlaFfH9QrPag&ci=94%2C899%2C775%2C267&edge=0",10,85
"california_1870","1856-01-18","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750&img=1&zoom=3&hl=en&sig=ACfU3U3Rj_M9dE8v4lRoLGGa3HSM_69gbQ&ci=138%2C928%2C756%2C267&edge=0",10,84.5
"california_1870","1856-01-25","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750&img=1&zoom=3&hl=en&sig=ACfU3U3Rj_M9dE8v4lRoLGGa3HSM_69gbQ&ci=138%2C928%2C756%2C267&edge=0",10,84.25
"california_1870","1856-02-01","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750&img=1&zoom=3&hl=en&sig=ACfU3U3Rj_M9dE8v4lRoLGGa3HSM_69gbQ&ci=138%2C928%2C756%2C267&edge=0",10,84
"california_1870","1856-02-08","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750&img=1&zoom=3&hl=en&sig=ACfU3U3Rj_M9dE8v4lRoLGGa3HSM_69gbQ&ci=138%2C928%2C756%2C267&edge=0",10,85
"california_1870","1856-02-13","1857-03-24","http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA831&img=1&zoom=3&hl=en&sig=ACfU3U1z1anEdxaA4Y_wb0od9o4DncMp4g&ci=11%2C105%2C863%2C305&edge=0",11,66.5
"california_1870","1856-02-15","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750&img=1&zoom=3&hl=en&sig=ACfU3U3Rj_M9dE8v4lRoLGGa3HSM_69gbQ&ci=138%2C928%2C756%2C267&edge=0",10,89
"california_1870","1856-02-22","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750&img=1&zoom=3&hl=en&sig=ACfU3U3Rj_M9dE8v4lRoLGGa3HSM_69gbQ&ci=138%2C928%2C756%2C267&edge=0",10,89.25
"california_1870","1856-03-07","1856-04-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911&img=1&zoom=3&hl=en&sig=ACfU3U20efj-usw_0cKnB0iQ0FK450PP4A&ci=102%2C370%2C782%2C266&edge=0",10,90
"california_1870","1856-03-14","1856-04-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911&img=1&zoom=3&hl=en&sig=ACfU3U20efj-usw_0cKnB0iQ0FK450PP4A&ci=102%2C370%2C782%2C266&edge=0",10,89
"california_1870","1856-03-21","1856-04-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911&img=1&zoom=3&hl=en&sig=ACfU3U20efj-usw_0cKnB0iQ0FK450PP4A&ci=102%2C370%2C782%2C266&edge=0",10,90
"california_1870","1856-03-28","1856-04-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911&img=1&zoom=3&hl=en&sig=ACfU3U20efj-usw_0cKnB0iQ0FK450PP4A&ci=102%2C370%2C782%2C266&edge=0",10,89
"california_1870","1856-04-04","1856-04-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911&img=1&zoom=3&hl=en&sig=ACfU3U20efj-usw_0cKnB0iQ0FK450PP4A&ci=102%2C370%2C782%2C266&edge=0",10,89
"california_1870","1856-04-11","1856-04-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911&img=1&zoom=3&hl=en&sig=ACfU3U20efj-usw_0cKnB0iQ0FK450PP4A&ci=102%2C370%2C782%2C266&edge=0",10,89
"california_1870","1856-04-18","1856-04-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911&img=1&zoom=3&hl=en&sig=ACfU3U20efj-usw_0cKnB0iQ0FK450PP4A&ci=102%2C370%2C782%2C266&edge=0",10,89
"california_1870","1856-04-25","1856-04-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA911&img=1&zoom=3&hl=en&sig=ACfU3U20efj-usw_0cKnB0iQ0FK450PP4A&ci=102%2C370%2C782%2C266&edge=0",10,90
"california_1870","1856-05-02","1856-05-28","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA989&img=1&zoom=3&hl=en&sig=ACfU3U2hPv6wsNwzEJ3mf7xbk28T4MRb3w&ci=123%2C403%2C765%2C269&edge=0",10,88
"california_1870","1856-05-09","1856-06-25","http://books.google.com/books?id=MlkmAQAAIAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2rOIo_Id2jL1IUb5Q0P2YujsjpAg&ci=78%2C462%2C803%2C267&edge=0",11,89
