"description","date","rate_low","rate_high"
"Loans on call, State Stock securities",1859-05-24,"4","5"
"First class paper, single names, 4 to 6 months",1859-05-24,"5.5","7"
"First class paper, 60 days to 4 months",1859-05-24,"5.5","6.5"
"First class paper, endorsed 6 months",1859-05-24,"5.25","6.5"
"Loans on call, with rail-road shares as collateral",1859-05-24,"5","7"
"Loans on call, State Stock securities",1859-06-25,"5.5","6"
"First class paper, single names, 4 to 6 months",1859-06-25,"7","8"
"First class paper, single names, 3 to 4 months",1859-06-25,"7","8"
"First class paper, 60 days to 4 months",1859-06-25,"6","7"
"First class paper, endorsed 6 months",1859-06-25,"6.5","7"
"Loans on call, with rail-road shares as collateral",1859-06-25,"6","7"
"Loans on call, State Stock securities",1859-07-25,"5","6"
"First class paper, single names, 3 to 4 months",1859-07-25,"7","8"
"First class paper, 60 days to 4 months",1859-07-25,"6","6.5"
"First class paper, endorsed 6 months",1859-07-25,"6.5","7.5"
"Loans on call, with rail-road shares as collateral",1859-07-25,"6","8"
"Loans on call, State Stock securities",1859-08-24,"6","7"
"First class paper, single names, 3 to 4 months",1859-08-24,"7","8"
"First class paper, 60 days to 4 months",1859-08-24,"6.5","7"
"First class paper, endorsed 6 months",1859-08-24,"7","7.5"
"Loans on call, with rail-road shares as collateral",1859-08-24,"7","10"
"Loans on call, State Stock securities",1859-09-25,"5","7"
"First class paper, single names, 3 to 4 months",1859-09-25,"7","8"
"First class paper, 60 days to 4 months",1859-09-25,"6.5","7"
"First class paper, endorsed 6 months",1859-09-25,"7","9"
"Loans on call, with rail-road shares as collateral",1859-09-25,"7","10"
"Loans on call, State Stock securities",1859-10-25,"5","6"
"First class paper, single names, 3 to 4 months",1859-10-25,"7","8"
"First class paper, 60 days to 4 months",1859-10-25,"6","7"
"First class paper, endorsed 6 months",1859-10-25,"7","8"
"Loans on call, with rail-road shares as collateral",1859-10-25,"7","10"
"Loans on call, State Stock securities",1859-11-25,"5","6"
"First class paper, single names, 3 to 4 months",1859-11-25,"7","7.5"
"First class paper, 60 days to 4 months",1859-11-25,"6","6.5"
"First class paper, endorsed 6 months",1859-11-25,"6.5","7.5"
"Loans on call, with rail-road shares as collateral",1859-11-25,"7","10"
"Loans on call, State Stock securities",1859-12-24,"6","7"
"First class paper, single names, 3 to 4 months",1859-12-24,"7.5","8"
"First class paper, 60 days to 4 months",1859-12-24,"6.5","7"
"First class paper, endorsed 6 months",1859-12-24,"7","8"
"Loans on call, with rail-road shares as collateral",1859-12-24,"7","10"
"Loans on call, State Stock securities",1860-01-24,"7","8"
"First class paper, single names, 3 to 4 months",1860-01-24,"8","9"
"First class paper, 60 days to 4 months",1860-01-24,"7","8"
"First class paper, endorsed 6 months",1860-01-24,"7","9"
"Loans on call, with rail-road shares as collateral",1860-01-24,"8","12"
"Loans on call, State Stock securities",1860-02-24,"5.5","6"
"Loans on call, other good securities",1860-02-24,"7","9"
"Prime endorsed bills, 60 days",1860-02-24,"6","7"
"First class paper, single names, 4 to 6 months",1860-02-24,"7","8"
"Other good bills",1860-02-24,"7.5","8"
"Names Less well known",1860-02-24,"10","12"
"Loans on call, State Stock securities",1860-03-24,"5","5.5"
"Loans on call, other good securities",1860-03-24,"6","7"
"Prime endorsed bills, 60 days",1860-03-24,"5","5.5"
"First class paper, single names, 4 to 6 months",1860-03-24,"7","8"
"Other good bills",1860-03-24,"8","9"
"Names Less well known",1860-03-24,"10","12"
"Loans on call, State Stock securities",1860-04-24,"5","6"
"Loans on call, other good securities",1860-04-24,"6","7"
"Prime endorsed bills, 60 days",1860-04-24,"5","6"
"First class paper, single names, 4 to 6 months",1860-04-24,"6","7"
"Other good bills",1860-04-24,"7","9"
"Names Less well known",1860-04-24,"10","15"
"Loans on call, State Stock securities",1860-05-25,"5","6"
"Loans on call, other good securities",1860-05-25,"6","7"
"Prime endorsed bills, 60 days",1860-05-25,"5.5","6.5"
"First class paper, single names, 4 to 6 months",1860-05-25,"5.5","7"
"Other good bills",1860-05-25,"7","8"
"Names Less well known",1860-05-25,"10","12"
"Loans on call, State Stock securities",1860-06-25,"5","6"
"Loans on call, other good securities",1860-06-25,"5.5","7"
"Prime endorsed bills, 60 days",1860-06-25,"5","7"
"First class paper, single names, 4 to 6 months",1860-06-25,"5","7"
"Other good bills",1860-06-25,"7","8"
"Names Less well known",1860-06-25,"8","10"
"Loans on call, State Stock securities",1860-07-21,"5","6"
"Loans on call, other good securities",1860-07-21,"5.5","6.5"
"Prime endorsed bills, 60 days",1860-07-21,"5","6"
"First class paper, single names, 4 to 6 months",1860-07-21,"6","7"
"Other good bills",1860-07-21,"7","9"
"Names Less well known",1860-07-21,"10","12"
"Loans on call, State Stock securities",1860-08-25,"5","6"
"Loans on call, other good securities",1860-08-25,"6","7"
"Prime endorsed bills, 60 days",1860-08-25,"5.5","6.5"
"First class paper, single names, 4 to 6 months",1860-08-25,"6.5","7.5"
"Other good bills",1860-08-25,"7","9"
"Names Less well known",1860-08-25,"10","12"
"Loans on call, State Stock securities",1860-09-24,"6","7"
"Loans on call, other good securities",1860-09-24,"7","8"
"Prime endorsed bills, 60 days",1860-09-24,"6.5","7.5"
"First class paper, single names, 4 to 6 months",1860-09-24,"7.5","8.5"
"Other good bills",1860-09-24,"8","9"
"Names Less well known",1860-09-24,"12","15"
"Loans on call, State Stock securities",1860-10-22,"6","7"
"Loans on call, other good securities",1860-10-22,"7","8"
"Prime endorsed bills, 60 days",1860-10-22,"6.5","7"
"First class paper, single names, 4 to 6 months",1860-10-22,"7","8"
"Other good bills",1860-10-22,"8","9"
"Names Less well known",1860-10-22,"12","15"
"Loans on call, State Stock securities",1860-11-24,"7","."
"Loans on call, other good securities",1860-11-24,"7","10"
"Prime endorsed bills, 60 days",1860-11-24,"12","15"
"First class paper, single names, 4 to 6 months",1860-11-24,"15","18"
"Other good bills",1860-11-24,"18","24"
"Names Less well known",1860-11-24,"24","."
"Loans on call, State Stock securities",1860-12-24,"6","6.5"
