"date","richmond","houston_old","houston_new"
"1861/9/1",1.12,1,
"1861/9/15",1.15,1,
"1861/9/29",1.15,1,
"1861/10/13",1.15,1.05,
"1861/10/27",1.2,1.05,
"1861/11/10",1.2,1.1,
"1861/11/24",1.2,1.1,
"1861/12/8",1.3,1.25,
"1861/12/22",1.35,1.5,
"1862/1/5",1.35,1.5,
"1862/1/19",1.3,1.5,
"1862/2/2",1.28,1.5,
"1862/2/16",1.4,1.75,
"1862/3/2",1.5,1.75,
"1862/3/16",1.5,1.75,
"1862/3/30",1.75,1.75,
"1862/4/13",1.76,2,
"1862/4/27",1.8,2,
"1862/5/11",2,2,
"1862/5/25",2,2,
"1862/6/8",2,2,
"1862/6/22",2,2.5,
"1862/7/6",2,2.5,
"1862/7/20",2,2.5,
"1862/8/3",2,2.5,
"1862/8/17",2.1,2.75,
"1862/8/31",2.35,2.75,
"1862/9/14",2.4,2.75,
"1862/9/28",2.4,3,
"1862/10/12",2.4,3,
"1862/10/26",2.8,3,
"1862/11/9",3.3,2.75,
"1862/11/23",3.3,2.75,
"1862/12/7",3.25,3.5,
"1862/12/21",3.25,3.5,
"1863/1/3",3.25,4,
"1863/1/17",3.1,4.5,
"1863/1/31",3.05,4.75,
"1863/2/14",3.3,5,
"1863/2/28",3.4,5,
"1863/3/14",5,5,
"1863/3/28",5.25,4.75,
"1863/4/11",5.5,5,
"1863/4/25",5.5,5.25,
"1863/5/9",6.5,6,
"1863/5/23",6,8,
"1863/6/6",7,8,
"1863/6/20",8.5,8,
"1863/7/4",8.25,7,
"1863/7/18",10,9.5,
"1863/8/1",11,9.5,
"1863/8/15",13,10,
"1863/8/29",12,10,
"1863/9/12",13,11.5,
"1863/9/26",11.5,12,
"1863/10/10",12.5,11,
"1863/10/24",12.5,11,
"1863/11/7",12.5,12,
"1863/11/21",16.75,15,
"1863/12/5",17,16,
"1863/12/19",18,19,
"1864/1/2",20,19,
"1864/1/16",22,23.75,
"1864/1/30",20.5,24.25,
"1864/2/13",22.5,22,
"1864/2/27",27,21,
"1864/3/12",22,22,
"1864/3/26",21.25,21,
"1864/4/9",23,26,
"1864/4/23",23,26,
"1864/5/7",21.25,28,
"1864/5/21",18,39.5,
"1864/6/4",17,43,
"1864/6/18",17,35,
"1864/7/2",17,31,
"1864/7/16",17,34,
"1864/7/30",19,36.5,
"1864/8/13",19,36,
"1864/8/27",20,41,
"1864/9/10",23,47,
"1864/9/24",25,54,
"1864/10/8",25,55,
"1864/10/22",23,48
"1864/11/5",25,48,18.3
"1864/11/19",28,50,24
"1864/12/3",29,48,20
"1864/12/17",34.75,50,22
"1864/12/31",40,45,20
"1865/1/14",50,,25
"1865/1/28",35,,26
"1865/2/11",45,,25
