date,price
1861-1-1,1.05
1861-1-15,1.05
1861-2-1,1.05
1861-2-15,1.05
1861-3-1,1.05
1861-3-15,1.05
1861-4-1,1.05
1861-4-15,1.05
1861-5-1,1.1
1861-5-15,1.1
1861-6-1,1.1
1861-6-15,1.1
1861-7-1,1.1
1861-7-15,1.1
1861-8-1,1.1
1861-8-15,1.1
1861-9-1,1.1
1861-9-15,1.1
1861-10-1,1.12
1861-10-15,1.15
1861-11-1,1.15
1861-11-15,1.15
1861-12-1,1.2
1861-12-15,1.3
1862-1-1,1.2
1862-1-15,1.2
1862-2-1,1.25
1862-2-15,1.4
1862-3-1,1.5
1862-3-15,1.65
1862-4-1,1.75
1862-4-15,1.8
1862-5-1,1.9
1862-5-15,1.95
1862-6-1,1.95
1862-6-15,2
1862-7-1,2
1862-7-15,2
1862-8-1,2.2
1862-8-15,2.2
1862-9-1,2.5
1862-9-15,2.5
1862-10-1,2.5
1862-10-15,2.5
1862-11-1,3
1862-11-15,3
1862-12-1,3
1862-12-15,3
1862-12-31,3
1863-1-1,3
1863-1-15,3
1863-2-1,3
1863-2-15,3.1
1863-3-1,3.25
1863-3-15,5
1863-4-1,5
1863-4-15,5
1863-5-1,5
1863-5-15,6
1863-6-1,6.5
1863-6-15,7.5
1863-7-1,8
1863-7-15,10
1863-8-1,14
1863-8-15,15
1863-9-1,14
1863-9-15,14
1863-10-1,13
1863-10-15,12.5
1863-11-1,13
1863-11-15,16.5
1863-12-1,20
1863-12-15,21
1864-1-1,21
1864-1-15,20
1864-2-1,20
1864-2-15,21
1864-3-1,26
1864-3-15,20
1864-4-1,19
1864-4-15,21
1864-5-1,20
1864-5-15,18
1864-6-1,18
1864-6-15,18
1864-7-1,18
1864-7-15,20
1864-8-1,20
1864-8-15,22
1864-9-1,20.5
1864-9-15,22.5
1864-10-1,27
1864-10-15,25
1864-11-1,26.5
1864-11-15,28
1864-12-1,32
1864-12-15,35
1864-12-31,51
1865-1-1,60
1865-1-15,65
1865-2-1,50
1865-2-15,46
1865-3-1,55
1865-3-15,50
1865-4-1,70
1865-4-15,80
1865-4-20,100
1865-4-26,200
1865-4-27,300
1865-4-28,500
1865-4-29,800
1865-4-30,1000
1865-5-1,1200
