year,month,price
1861,2,1
1861,3,1
1861,4,1
1861,5,1
1861,6,1
1861,7,1.1
1861,8,1.1
1861,9,1.1
1861,10,1.1
1861,11,1.2
1861,12,1.2
1862,1,1.2
1862,2,1.2
1862,3,1.3
1862,4,1.5
1862,5,1.5
1862,6,1.5
1862,7,1.5
1862,8,1.5
1862,9,2
1862,10,2
1862,11,2.9
1862,12,2.9
1863,1,3
1863,2,3.3
1863,3,4.1
1863,4,4.5
1863,5,5.2
1863,6,7
1863,7,9
1863,8,12
1863,9,12
1863,10,13
1863,11,15
1863,12,20
1864,1,21
1864,2,23
1864,3,22
1864,4,21
1864,5,19
1864,6,17
1864,7,20
1864,8,22
1864,9,23
1864,10,26
1864,11,30
1864,12,38
1865,1,53
1865,2,58
1865,3,61
