dt	mean	low	high
1861-05-01	1.10		
1861-06-01	1.10		
1861-07-01	1.10		
1861-08-01	1.10		
1861-09-01	1.10		
1861-10-01	1.15		
1861-11-01	1.15		
1861-12-01	1.20		
1862-01-01	1.25		
1862-02-01	1.25		
1862-03-01	1.30		
1862-04-01	1.40		
1862-05-01	1.50		
1862-06-01	1.50		
1862-07-01	1.50		
1862-08-01	1.50		
1862-09-01	2.50		
1862-10-01	2.50		
1862-11-01	3.00		
1862-12-01	3.00		
1863-01-01	3.00		
1863-02-01	4.00		
1863-03-01	5.00		
1863-04-01	5.50		
1863-05-01	5.50		
1863-06-01		7	8
1863-07-01	9.00		
1863-08-01		12	13
1863-09-01		12	13
1863-10-01	14.00		
1863-11-01		15	17
1863-12-01		18	20
1864-01-01		20.00	20.50
1864-02-01		22.50	25.00
1864-03-01		23.00	24.50
1864-04-01		22.00	23.00
1864-05-01		18.00	21.00
1864-06-01		17.00	19.00
1864-07-01		20.00	23.00
1864-08-01		22.50	25.00
1864-09-01		22.50	27.50
1864-10-01		26.00	27.00
1864-11-01		27.50	33.50
1864-12-01		24.00	49.00
1865-01-01		45	60
1865-02-01		45	65
1865-03-01		70	60
1865-04-01	60.00		
