"date","price","wilmington","imputed"
"1861-05-31",1.12,0,0
"1861-06-07",1.1,0,0
"1861-06-14",1.12,0,0
"1861-06-21",1.1,0,0
"1861-06-28",1.1,0,0
"1861-07-05",1.1,0,0
"1861-07-12",1.1,0,0
"1861-07-19",1.1,0,0
"1861-07-26",1.1,0,0
"1861-08-02",1.1,0,0
"1861-08-09",1.12,0,0
"1861-08-16",1.12,0,0
"1861-08-23",1.12,0,0
"1861-08-30",1.12,0,0
"1861-09-06",1.12,0,0
"1861-09-13",1.15,0,0
"1861-09-20",1.15,0,1
"1861-09-27",1.15,0,1
"1861-10-04",1.15,0,1
"1861-10-11",1.15,0,0
"1861-10-18",1.15,0,0
"1861-10-25",1.2,0,0
"1861-11-01",1.2,0,0
"1861-11-08",1.2,0,0
"1861-11-15",1.2,0,0
"1861-11-22",1.2,0,0
"1861-11-29",1.25,0,0
"1861-12-06",1.3,0,0
"1861-12-13",1.3,0,0
"1861-12-20",1.35,0,0
"1861-12-27",1.35,0,0
"1862-01-03",1.35,0,0
"1862-01-10",1.3,0,0
"1862-01-17",1.3,0,0
"1862-01-24",1.3,0,0
"1862-01-31",1.28,0,0
"1862-02-07",1.28,0,0
"1862-02-14",1.4,0,0
"1862-02-21",1.4,0,0
"1862-02-28",1.5,0,0
"1862-03-07",1.5,0,0
"1862-03-14",1.5,0,0
"1862-03-21",1.5,0,0
"1862-03-28",1.5,0,0
"1862-04-04",1.75,0,0
"1862-04-11",1.76,0,0
"1862-04-18",1.76,0,1
"1862-04-25",1.8,0,0
"1862-05-02",2,0,0
"1862-05-09",2,0,0
"1862-05-16",2,0,0
"1862-05-23",2,0,0
"1862-05-30",2,0,0
"1862-06-06",2,0,0
"1862-06-13",2,0,0
"1862-06-20",2,0,0
"1862-06-27",2,0,0
"1862-07-04",2,0,0
"1862-07-11",2,0,0
"1862-07-18",2,0,0
"1862-07-25",2,0,0
"1862-08-01",2,0,0
"1862-08-08",2,0,0
"1862-08-15",2.1,0,0
"1862-08-22",2.3,0,0
"1862-08-29",2.35,0,0
"1862-09-05",2.4,0,0
"1862-09-12",2.4,0,0
"1862-09-19",2.4,0,0
"1862-09-26",2.4,0,0
"1862-10-03",2.4,0,0
"1862-10-10",2.4,0,0
"1862-10-17",2.4,0,0
"1862-10-24",2.8,0,0
"1862-10-31",3.5,0,0
"1862-11-07",3.3,0,0
"1862-11-14",3.3,0,0
"1862-11-21",3.3,0,0
"1862-11-28",3.25,0,0
"1862-12-05",3.25,0,0
"1862-12-12",3.3,0,0
"1862-12-19",3.25,0,0
"1862-12-26",3.25,0,0
"1863-01-02",3.25,0,0
"1863-01-09",3.05,0,0
"1863-01-16",3.1,0,0
"1863-01-23",3.2,0,0
"1863-01-30",3.05,0,0
"1863-02-06",3.25,0,0
"1863-02-13",3.3,0,0
"1863-02-20",3.3,0,0
"1863-02-27",3.4,0,0
"1863-03-06",4.5,0,0
"1863-03-13",5,0,0
"1863-03-20",5.25,0,0
"1863-03-27",5.25,0,0
"1863-04-03",5,0,0
"1863-04-10",5.5,0,0
"1863-04-17",5.75,0,0
"1863-04-24",5.5,0,0
"1863-05-01",5,0,0
"1863-05-08",6.5,0,0
"1863-05-15",5.25,0,0
"1863-05-22",6,0,0
"1863-05-29",6.25,0,0
"1863-06-05",7,0,0
"1863-06-12",8,0,0
"1863-06-19",8.5,0,0
"1863-06-26",8.5,0,0
