"date","src","price","yield_1879","implied_maturity_5pct","implied_maturity_6pct","implied_maturity_7pct","implied_maturity_8pct"
1862-01-01,"ECM",1.2,0.0107178882637773,1865-08-23,1865-01-14,1864-08-08,1864-04-11
1862-01-10,"ECM",1.22,0.0117065424906428,1865-12-31,1865-05-03,1864-11-11,1864-07-05
1862-01-20,"ECM",1.25,0.0131578992293516,1866-07-06,1865-10-08,1865-03-28,1864-11-03
1862-02-01,"ECM",1.25,0.0131834568193083,1866-07-18,1865-10-20,1865-04-09,1864-11-15
1862-02-10,"ECM",1.28,0.0146059212911342,1867-01-17,1866-03-22,1865-08-20,1865-03-12
1862-02-20,"ECM",1.35,0.0177850586530887,1868-02-19,1867-02-19,1866-06-03,1865-11-20
1862-03-01,"ECM",1.4,0.019969490466137,1868-11-20,1867-10-07,1866-12-19,1866-05-14
1862-03-10,"ECM",1.5,0.0240994568408207,1870-04-16,1868-12-09,1867-12-23,1867-04-02
1862-03-20,"ECM",1.6,0.0279809696093123,1871-08-11,1870-01-16,1868-12-03,1868-02-01
1862-04-01,"ECM",1.65,0.0298713809589898,1872-04-03,1870-08-03,1869-05-25,1868-07-02
1862-04-10,"ECM",1.7,0.0316987416755634,1872-11-16,1871-02-09,1869-11-05,1868-11-24
1862-04-20,"ECM",1.7,0.0317507068258512,1872-11-26,1871-02-19,1869-11-15,1868-12-04
1862-05-01,"ECM",1.7,0.0318080656327299,1872-12-07,1871-03-02,1869-11-26,1868-12-15
1862-05-10,"ECM",1.8,0.0352865349817884,1874-02-06,1872-02-22,1870-09-29,1869-09-11
1862-05-20,"ECM",1.9,0.0385958267632494,1875-03-18,1873-01-26,1871-07-18,1870-05-26
1862-06-01,"ECM",1.9,0.0386722793748637,1875-03-30,1873-02-07,1871-07-30,1870-06-07
1862-06-10,"ECM",1.9,0.0387298178960033,1875-04-08,1873-02-16,1871-08-08,1870-06-16
1862-06-20,"ECM",1.8,0.0355261024489607,1874-03-19,1872-04-03,1870-11-09,1869-10-22
1862-07-01,"ECM",1.9,0.0388647426099741,1875-04-29,1873-03-09,1871-08-29,1870-07-07
1862-07-10,"ECM",1.9,0.0389228556991068,1875-05-08,1873-03-18,1871-09-07,1870-07-16
1862-07-20,"ECM",2,0.0421032985362589,1876-05-26,1874-02-03,1872-06-11,1871-03-17
1862-08-01,"ECM",2,0.0421875472576922,1876-06-07,1874-02-15,1872-06-23,1871-03-29
1862-08-10,"ECM",2,0.042250955394853,1876-06-16,1874-02-24,1872-07-02,1871-04-07
