"date","actual_maturity","yield_actual_low","yield_actual_high","yield_actual_mean","implied_maturity_low_5pct","implied_maturity_high_5pct","implied_maturity_mean_5pct","implied_maturity_low_4pct","implied_maturity_high_4pct","implied_maturity_mean_4pct","implied_maturity_low_6pct","implied_maturity_high_6pct","implied_maturity_mean_6pct"
1862-01-01,17.0109589041096,0.000876529819383201,0.000294665447832769,0.000585597633608036,1861-11-25,1861-09-14,1861-10-20,1861-11-16,1861-08-17,1861-10-02,1861-12-01,1861-10-02,1861-11-01
1862-01-02,17.0082191780822,0.000727664133350558,0.000584971933245621,0.000656318033298094,1861-10-21,1861-10-03,1861-10-12,1861-10-03,1861-09-11,1861-09-22,1861-11-02,1861-10-18,1861-10-26
1862-01-03,17.0054794520548,0.000727781366173717,0.000585066177153023,0.000656423771663375,1861-10-22,1861-10-04,1861-10-13,1861-10-04,1861-09-12,1861-09-23,1861-11-03,1861-10-19,1861-10-27
1862-01-04,17.0027397260274,0.00116420221959161,0.00102040251245831,0.00109230236602498,1861-08-30,1861-08-12,1861-08-21,1861-07-29,1861-07-07,1861-07-18,1861-09-20,1861-09-05,1861-09-13
1862-01-05,17,,,,,,,,,,,,
1862-01-06,16.9972602739726,0.00145332908022819,0.00130877615502445,0.00138105261762631,1861-07-27,1861-07-09,1861-07-18,1861-06-17,1861-05-25,1861-06-05,1861-08-23,1861-08-08,1861-08-16
1862-01-07,16.9945205479452,0.0017377249639213,0.00159849570313733,0.00166811033352932,1861-06-22,1861-06-05,1861-06-14,1861-05-04,1861-04-12,1861-04-23,1861-07-25,1861-07-11,1861-07-18
1862-01-08,16.9917808219178,0.00202359171308742,0.00202359171308742,0.00202359171308742,1861-05-01,1861-05-01,1861-05-01,1861-02-28,1861-02-28,1861-02-28,1861-06-12,1861-06-12,1861-06-12
1862-01-09,16.9890410958904,0.00245191444494821,0.00245191444494821,0.00245191444494821,1861-03-10,1861-03-10,1861-03-10,1860-12-24,1860-12-24,1860-12-24,1861-04-30,1861-04-30,1861-04-30
1862-01-10,16.986301369863,0.00287114677336157,0.00259364209062512,0.00273239443199337,1861-02-22,1861-01-18,1861-02-05,1860-12-03,1860-10-21,1860-11-12,1861-04-16,1861-03-19,1861-04-02
1862-01-11,16.9835616438356,0.00231168907774729,0.00202457102832202,0.00216813005303465,1861-05-04,1861-03-30,1861-04-17,1861-03-03,1861-01-17,1861-02-08,1861-06-15,1861-05-17,1861-05-31
1862-01-12,16.9808219178082,,,,,,,,,,,,
1862-01-13,16.9780821917808,0.00173940744734611,0.00173940744734611,0.00173940744734611,1861-06-11,1861-06-11,1861-06-11,1861-04-18,1861-04-18,1861-04-18,1861-07-17,1861-07-17,1861-07-17
1862-01-14,16.9753424657534,0.00188548750634387,0.00160030162145915,0.00174289456390151,1861-06-29,1861-05-25,1861-06-12,1861-05-11,1861-03-27,1861-04-19,1861-08-01,1861-07-03,1861-07-18
1862-01-15,16.972602739726,0.00160055994294768,0.00145544045419463,0.00152800019857113,1861-07-18,1861-06-30,1861-07-09,1861-06-03,1861-05-12,1861-05-23,1861-08-17,1861-08-02,1861-08-10
