"","date","high","low","mean"
"1","1862-01-01",99.5,98.52,99.008787488788
"2","1862-01-02",99.01,98.77,98.8899271918025
"3","1862-01-03",99.01,98.77,98.8899271918025
"4","1862-01-04",98.28,98.04,98.1599266503393
"5","1862-01-05",98.03970624191,97.7997055210291,97.9196323513675
"6","1862-01-06",97.8,97.56,97.6799262898985
"7","1862-01-07",97.32,97.09,97.2049319736401
"8","1862-01-08",96.62,96.62,96.62
"9","1862-01-09",95.92,95.92,95.92
"10","1862-01-10",95.69,95.24,95.4647348501005
"11","1862-01-11",96.62,96.15,96.3847135182753
"12","1862-01-12",96.8547149084648,96.6188568551709,96.7367139998529
"13","1862-01-13",97.09,97.09,97.09
"14","1862-01-14",97.32,96.85,97.0847155838652
"15","1862-01-15",97.56,97.32,97.4399261083464
"16","1862-01-16",97.8,97.56,97.6799262898985
"17","1862-01-17",98.16,98.04,98.0999816513744
"18","1862-01-18",98.28,98.04,98.1599266503393
"19","1862-01-19",98.03970624191,97.7997055210291,97.9196323513676
"20","1862-01-20",97.8,97.56,97.6799262898985
"21","1862-01-21",97.8,97.56,97.6799262898985
"22","1862-01-22",97.44,97.21,97.3249320575155
"23","1862-01-23",96.74,96.39,96.5648414279235
"24","1862-01-24",96.74,96.62,96.6799813818765
"25","1862-01-25",97.09,96.85,96.9699257502036
"26","1862-01-26",97.09,96.85,96.9699257502036
"27","1862-01-27",97.09,96.85,96.9699257502036
"28","1862-01-28",96.74,96.74,96.74
"29","1862-01-29",96.85,96.74,96.7949843741916
"30","1862-01-30",96.85,96.62,96.7349316431247
"31","1862-01-31",96.62,96.5,96.5599813587388
"32","1862-02-01",96.62,96.62,96.62
"33","1862-02-02",96.6799813818765,96.62,96.6499860378515
"34","1862-02-03",96.74,96.62,96.6799813818765
"35","1862-02-04",96.62,96.5,96.5599813587388
"36","1862-02-05",96.74,96.62,96.6799813818765
"37","1862-02-06",96.74,96.62,96.6799813818765
"38","1862-02-07",96.74,96.5,96.6199254812381
"39","1862-02-08",96.62,96.5,96.5599813587388
