"date","description"
"1861-01-01","New Years"
"1861-07-04","Independence Day"
"1861-12-25","Christmas"
"1862-1-1","New Years"
"1862-07-04","Independence Day"
"1862-11-27","Thanksgiving"
"1862-12-25","Christmas"
"1863-01-01","New Years"
"1863-04-30","National Fast"
"1863-07-04","Independence Day"
"1863-08-06","Thanksgiving"
"1863-11-26","Thanksgiving"
"1863-12-25","Christmas"
"1864-01-01","Holiday"
"1864-03-25","Good Friday"
"1864-07-04","Independence Day"
"1864-08-04","Fast Day"
"1864-11-24","Thanksgiving"
"1864-12-26","Christmas"
"1865-01-02","New Years"
"1865-02-22","Washington's Birthday"
"1865-03-04","Holiday"
"1865-04-14","President assassinated"
"1865-04-15","Exchange closed"
"1865-04-19","Holiday"
"1865-04-20","Holiday"
"1865-04-24","Holiday"
"1865-04-25","Holiday"
"1865-06-01","Holiday"
"1865-07-03","Independence Day"
"1865-07-04","Independence Day"
"1865-12-07","Holiday"
"1865-12-25","Christmas"
"1866-01-01","New Years"
"1866-02-22","Washington's Birthday"
"1866-03-30","Holiday"
"1866-06-01","Holiday"
"1866-07-04","Independence Day"
"1866-11-29","Thanksgiving"
"1866-12-25","Christmas"
"1867-01-01","New Years"
"1867-02-22","Washington's Birthday"
"1867-04-19","Holiday"
"1867-07-04","Independence Day"
"1867-11-28","Thanksgiving"
"1867-12-25","Christmas"
"1868-01-01","New Years"
"1868-02-22","Washington's Birthday"
"1868-04-10","Holiday"
"1868-07-04","Independence Day"
"1868-11-26","Thanksgiving"
"1868-12-25","Christmas"
"1869-01-01","New Years"
"1869-02-22","Washington's Birthday"
"1869-03-26","Holiday"
"1869-07-05","Independence Day"
"1869-09-25","Adjournment following Black Friday"
"1869-09-27","Adjournment following Black Friday"
"1869-09-28","Adjournment following Black Friday"
"1869-09-29","Adjournment following Black Friday"
"1869-11-18","Thanksgiving"
"1869-12-25","Christmas"
"1870-01-01","New Years"
"1870-02-22","Washington's Birthday"
"1870-04-15","Holiday"
"1870-07-04","Independence Day"
"1870-09-30","Holiday"
"1870-11-24","Thanksgiving"
"1870-12-26","Christmas"
"1871-01-02","New Years"
"1871-02-22","Washington's Birthday"
"1871-04-07","Holiday"
"1871-07-03","Independence Day"
"1871-07-04","Independence Day"
"1871-11-07","Holiday"
"1871-11-30","Thanksgiving"
"1871-12-25","Christmas"
"1872-01-01","New Years"
"1872-02-22","Washington's Birthday"
"1872-03-29","Holiday"
"1872-07-04","Independence Day"
"1872-11-05","Holiday"
"1872-11-28","Holiday"
"1872-12-25","Christmas"
"1873-01-01","New Years"
"1873-02-22","Washington's Birthday"
"1873-04-11","Holiday"
"1873-05-30","Holiday"
"1873-07-04","Independence Day"
"1873-07-05","Independence Day"
"1873-11-04","Holiday"
"1873-11-27","Thanksgiving"
"1873-12-25","Christmas"
"1874-01-01","New Years"
"1874-02-23","Washington's Birthday"
"1874-04-03","Holiday"
"1874-05-30","Holiday"
"1874-07-04","Independence Day"
"1874-11-03","Holiday"
"1874-11-26","Thanksgiving"
"1874-12-25","Christmas"
"1875-01-01","New Years"
"1875-02-22","Washington's Birthday"
"1875-03-26","Holiday"
"1875-05-31","Holiday"
"1875-07-05","Independence Day"
"1875-11-02","Holiday"
"1875-11-25","Holiday"
"1875-12-25","Christmas"
"1876-01-01","New Years"
"1876-02-22","Washington's Birthday"
"1876-04-14","Holiday"
"1876-05-30","Holiday"
"1876-07-03","Independence Day"
"1876-07-04","Independence Day"
"1876-11-07","Holiday"
"1876-11-30","Holiday"
"1876-12-25","Christmas"
"1877-01-01","New Years"
"1877-02-22","Washington's Birthday"
"1877-03-30","Holiday"
"1877-05-30","Holiday"
"1877-07-04","Independence Day"
"1877-11-06","Holiday"
"1877-11-29","Holiday"
"1877-12-25","Christmas"
"1878-01-01","New Years"
"1878-02-22","Washington's Birthday"
"1878-04-19","Good Friday"
"1878-05-30","Holiday"
"1878-07-04","Independence Day"
"1878-11-05","Holiday"
"1878-11-28","Thanksgiving"
"1878-12-25","Christmas"
