"year","us_3pct_1790_price_avg","us_3pct_1790_current_avg","us_3pct_1790_price_high","us_3pct_1790_price_low","us_5pct_1821_1835_price_avg","us_5pct_1821_1835_yield_avg","us_5pct_1821_1835_ytm_avg","us_5pct_1821_1835_price_high","us_5pct_1821_1835_price_low","us_6pct_1842_1863_price_avg","us_6pct_1842_1863_yield_avg","us_6pct_1842_1863_ytm_avg","us_6pct_1842_1863_price_high","us_6pct_1842_1863_yield_high","us_6pct_1842_1863_price_low","us_6pct_1842_1863_yield_low","us_6pct_1848_1868_price_avg","us_6pct_1848_1868_yield_avg","us_6pct_1848_1868_ytm_avg",,"us_6pct_1848_1868_price_low","us_6pct_1848_1868_yield_low","us_6pct_1848_1868_price_high","us_6pct_1848_1868_yield_high","boston_5pct_price_avg","boston_5pct_yield_avg","boston_5pct_price_high","boston_5pct_price_low","mass_5pct_price_avg","mass_5pct_yield_avg","mass_5pct_price_high","mass_5pct_yield_high","mass_5pct_price_low","mass_5pct_yield_low"
1830,92.25,3.25,95.5,89,105.25,4.72,3.82,108.5,102,,,,,,,,,,,,,,,,102,4.9,102,,,,,,,
1831,94,3.19,95.5,92.5,104.75,4.76,3.71,106.5,103,,,,,,,,,,,,,,,,,,,,,,,,,
1832,98,3.06,100,96,104,4.8,3.57,105,103,,,,,,,,,,,,,,,,100,5,,100,,,,,,
1833,,,,,101.75,4.92,4.04,103,100.5,,,,,,,,,,,,,,,,102.5,4.87,102.5,,,,,,,
1834,,,,,100.25,4.97,4.45,101,100,,,,,,,,,,,,,,,,102.5,4.87,102.5,,,,,,,
1835,,,,,,,,,,,,,,,,,,,,,,,,,103.5,4.83,107,99.5,,,,,,
1836,,,,,,,,,,,,,,,,,,,,,,,,,100.75,4.96,106.5,95,,,,,,
1837,,,,,,,,,,,,,,,,,,,,,,,,,101,4.95,102.5,99.5,98.625,5.07,103.5,4.83,93.75,5.06
1838,,,,,,,,,,,,,,,,,,,,,,,,,99.75,5.01,102,97.75,101.5,4.92,103,4.86,100,5
1839,,,,,,,,,,,,,,,,,,,,,,,,,96,5.21,97,95,98.75,5.06,100,5,97.5,5.13
1840,,,,,,,,,,,,,,,,,,,,,,,,,98.75,5.07,99.5,98,98.375,5.08,99,5.05,97.75,5.12
1841,,,,,,,,,,,,,,,,,,,,,,,,,100.25,4.99,100.5,100,92.375,5.41,99.25,5.04,86,5.81
1842,,,,,,,,,,98.75,6.07,6.12,100,6,97.5,6.14,,,,,,,,,101,4.95,102,100,88.375,5.65,92,5.43,84.75,5.9
1843,,,,,,,,,,112.125,5.32,5.03,118.75,5.04,105,5.71,,,,,,,,,102.25,4.88,104.5,100,95.125,5.25,104,4.81,86.25,5.79
1844,,,,,,,,,,114.125,5.24,4.85,115,5.21,113.25,5.27,,,,,,,,,103.375,4.84,105.25,101.5,102.875,4.87,104.5,4.79,101.25,4.94
1845,,,,,,,,,,109.75,5.47,5.16,114,5.25,105.5,5.68,,,,,,,,,103,4.86,106,100,103.5,4.84,104,4.81,103,4.86
1846,,,,,,,,,,105.5,5.68,5.5,112,5.33,99,6.06,,,,,,,,,101.5,4.92,105,98,100,5,103,4.86,97,5.14
1847,,,,,,,,,,102.5,5.85,5.77,108,5.36,97,6.18,,,,,,,,,97.25,5.14,103.5,91,94,5.34,98,5.1,90,5.55
1848,,,,,,,,,,102.625,6.84,5.71,108,5.56,97.75,6.13,,,,,,,,,94.25,5.31,97.5,91,90.75,5.52,93.75,5.35,88.25,5.66
1849,,,,,,,,,,108.375,5.54,5.16,111.75,5.35,105,5.71,,,,,,,,,94.25,5.31,96.5,92,93.5,5.36,95,5.26,92,5.43
1850,,,,,,,,,,,,,,,,,117.25,5.1,4.58,,122,4.91,112.25,5.31,97.5,5.13,100,95,97.5,5.13,100,5,95,5.26
1851,,,,,,,,,,,,,,,,,118.25,5.05,4.47,,122.5,4,114,5.26,98.5,5.08,100,97,98.75,5.07,100,5,97.5,5.13
1852,,,,,,,,,,,,,,,,,118.375,5.06,4.39,,121,9,115.75,5.18,100.5,4.98,101,100,99.25,5.04,100.5,4.98,98,5.1
1853,,,,,,,,,,,,,,,,,122,4.91,4.02,,124,4.96,120,5,100.25,4.99,101.5,99,100,5,100.5,4.98,99.5,5.04
1854,,,,,,,,,,,,,,,,,119.625,5.02,4.14,,123.25,4.83,116,5.17,97.5,5.13,101,94,97.75,5.12,100.5,4.98,95,5.26
1855,,,,,,,,,,,,,,,,,118,5.08,4.18,,120,4.86,116,5.17,97,5.16,100,94,97.75,5.12,99,5.05,96.5,5.18
1856,,,,,,,,,,,,,,,,,117.75,5.09,4.11,,119,5,116.5,5.15,98,5.1,99.5,96.5,97,5.16,99,5.05,95,5.26
1857,,,,,,,,,,,,,,,,,114.75,5.22,4.3,,118.5,5.04,111,5.41,95.5,5.24,99,92,95.5,5.24,99,5.05,92,5.43
1858,,,,,,,,,,,,,,,,,113.5,5.29,4.32,,116,5.06,111,5.41,98.25,5.09,101.5,95,98.5,5.08,101,4.95,96,5.2
1859,,,,,,,,,,,,,,,,,109.125,5.49,4.72,,111,5.17,107.5,5.57,101,4.95,102,100.25,100.75,4.97,101.5,4.92,100,5
