"year","month","low","high","gold"
1862,1,111,114.5,0
1862,2,113,115.25,0
1862,3,111.375,114.25,0
1862,4,112,113,0
1862,5,112.5,113,0
1862,6,114.375,121,0
1862,7,120.5,132.5,0
1862,8,124.75,129,0
1862,9,129,135,0
1862,10,132.5,151,0
1862,11,142.5,147.75,0
1862,12,142.75,148.25,0
1863,1,146,177,0
1863,2,168,190,0
1863,3,155,191,0
1863,4,158,172.875,0
1863,5,156.5,170,0
1863,6,155,171,0
1863,7,137,160.5,0
1863,8,135.5,144,0
1863,9,136.75,158.25,0
1863,10,155,172.5,0
1863,11,157,168.75,0
1863,12,163.25,167.5,0
1864,1,166,174.375,0
1864,2,172.125,176.75,0
1864,3,174.25,185,0
1864,4,177.5,200,0
1864,5,175,205,0
1864,6,202.5,267,0
1864,7,245,300,0
1864,8,250,283.125,0
1864,9,200,275,0
1864,10,204,242.5,0
1864,11,225.5,282.5,0
1864,12,226.5,260,0
1865,1,108.25,109.75,1
1865,2,107,109.75,1
1865,3,107,109,1
1865,4,107.75,109.75,1
1865,5,108.5,109.75,1
1865,6,108.5,109.75,1
1865,7,108,110,1
1865,8,108,109.25,1
1865,9,108.25,109.875,1
1865,10,108.375,110,1
1865,11,107,108.75,1
1865,12,109,109.625,1
1866,1,108,109.25,1
1866,2,107.25,108.875,1
1866,3,106.5,108.875,1
1866,4,106.125,108.75,1
1866,5,108.75,109.875,1
1866,6,107.75,110,1
1866,7,107.75,109.5,1
1866,8,105.5,108.25,1
1866,9,105.5,108.625,1
1866,10,106.25,109.875,1
1866,11,108.625,109.75,1
1866,12,108.75,109.625,1
1867,1,108.625,109.5,1
1867,2,108.375,109,1
1867,3,108,109.25,1
1867,4,108.75,109.875,1
1867,5,109.375,110.125,1
1867,6,109.75,110.5,1
1867,7,109.75,110.375,1
1867,8,109.25,110.125,1
1867,9,109,110,1
1867,10,108.625,109.5,1
1867,11,109,109.75,1
1867,12,109.125,110.25,1
1868,1,109.375,110.25,1
1868,2,109.5,110.125,1
1868,3,109.375,110,1
1868,4,109.5,110.25,1
1868,5,109.875,110.25,1
1868,6,110,110.75,1
1868,7,110,110.375,1
1868,8,108.875,110.25,1
1868,9,108.5,109.375,1
1868,10,108.625,110.125,1
1868,11,109,109.875,1
1868,12,109,109.75,1
1869,1,109.375,109.875,1
1869,2,108.75,109.75,1
1869,3,107.75,109.25,1
1869,4,107.75,109.25,1
1869,5,109,109.625,1
1869,6,109.375,109.75,1
1869,7,109.625,110.25,1
1869,8,109.125,110.125,1
1869,9,106,109.375,1
1869,10,107.75,109.5,1
1869,11,108.75,109.25,1
1869,12,108.375,109,1
1870,1,108.625,109.25,1
1870,2,108.625,109.125,1
1870,3,107.875,108.75,1
1870,4,108.25,109.5,1
1870,5,109.125,109.875,1
1870,6,109.5,110,1
1870,7,109.625,110.125,1
1870,8,109.5,109.875,1
1870,9,109,109.875,1
1870,10,108.25,109.375,1
1870,11,108.875,109.375,1
1870,12,108.875,109.25,1
