year,month,rate
1862,1,6.5
1862,2,6
1862,3,5.5
1862,4,5.5
1862,5,4.6
1862,6,4.1
1862,7,5.4
1862,8,4
1862,9,4.3
1862,10,4.61
1862,11,6.3
1862,12,6
1863,1,6.1
1863,2,6.3
1863,3,6.1
1863,4,5.2
1863,5,5.3
1863,6,6.1
1863,7,6.1
1863,8,6
1863,9,6.6
1863,10,6.5
1863,11,7
1863,12,7
1864,1,7
1864,2,6.1
1864,3,5.9
1864,4,6.8
1864,5,5.6
1864,6,67
1864,7,6.8
1864,8,6.9
1864,9,7
1864,10,6.8
1864,11,6.9
1864,12,6.6
1865,1,7
1865,2,6.1
1865,3,7
1865,4,56
1865,5,5.4
1865,6,4.9
1865,7,5.5
1865,8,5.9
1865,9,6
1865,10,7
1865,11,6.8
1865,12,6.8
