year,quarter,index1,index2,index3,index4
1860,1,101,102,102,100
1860,2,102,102,102,100
1860,2,100,100,100,100
1860,4,102,104,104,100
1861,1,98,98,97,100
1861,2,98,98,98,100
1861,3,94,94,93,97
1861,4,101,101,100,95
1862,1,111,114,111,100
1862,2,111,113,110,100
1862,3,115,117,113,103
1862,4,130,134,124,117
1863,1,147,154,142,130
1863,2,165,173,162,142
1863,3,159,165,156,139
1863,4,160,166,154,140
1864,1,185,193,176,161
1864,2,210,208,194,175
1864,3,254,264,233,200
1864,4,254,262,234,208
1865,1,262,272,247,228
1865,2,211,216,207,184
1865,3,193,197,184,160
1865,4,213,214,199,180
