dt	yield_greenback_1yr	gold_price_change	yield_sixes1881
1863-5-2	6.52	-3.01	9.68
1863-5-9	6.79	-2.88	9.81
1863-5-16	6.39	-2.95	9.49
1863-5-23	6.52	-2.80	9.46
1863-5-30	6.52	-2.56	9.21
1863-6-6	8.94	-0.34	9.29
1863-6-13	8.13	-1.22	9.41
1863-6-20	7.45	-1.50	9.02
1863-6-27	9.22	-0.27	9.50
1863-7-11	7.32	-0.95	8.30
1863-7-18	7.04	-0.55	7.62
1863-7-25	8.00	0.30	7.69
1863-8-1	6.92	-1.05	8.01
1863-8-8	6.79	-0.91	7.73
1863-8-15	6.66	-1.02	7.72
1863-8-22	6.79	-0.73	7.54
1863-8-29	6.26	-1.23	7.54
1863-9-5	6.66	-1.59	8.31
1863-9-12	6.52	-1.37	7.95
1863-9-19	6.66	-1.63	8.36
1863-9-26	6.66	-2.12	8.87
1863-10-3	6.66	-2.32	9.08
1863-10-10	6.55	-2.52	9.29
1863-10-17	6.66	-2.79	9.58
1863-10-24	6.66	-2.29	9.05
1863-11-7	7.18	-2.04	9.31
1863-11-14	7.86	-1.37	9.30
1863-11-21	8.13	-1.38	9.56
1863-11-27	8.13	-0.96	9.14
1863-12-5	8.13	-1.55	9.76
1863-12-12	8.13	-1.43	9.63
1863-12-19	7.72	-1.87	9.68
1863-12-26	8.13	-1.46	9.66
1864-1-2	8.39	-1.27	9.72
1864-1-9	8.53	-1.16	9.74
1864-1-16	8.27	-1.61	9.95
1864-1-23	9.22	-0.64	9.89
1864-1-30	8.39	-1.58	10.05
1864-2-6	7.72	-2.33	10.17
1864-2-13	7.45	-2.33	9.90
1864-2-20	6.79	-2.97	9.90
1864-2-27	6.79	-2.94	9.87
1864-3-5	6.79	-3.03	9.97
1864-3-12	6.66	-3.17	9.98
1864-3-19	6.79	-2.98	9.92
1864-3-26	6.79	-3.48	10.44
1864-4-2	6.79	-3.57	10.55
1864-4-9	6.92	-3.43	10.53
1864-4-16	7.04	-3.53	10.76
1864-4-23	9.22	-2.06	11.40
1864-4-30	8.00	-2.92	11.08
1864-5-7	8.00	-2.69	10.83
1864-5-14	8.00	-2.47	10.60
1864-5-21	8.00	-3.22	11.40
1864-5-28	7.86	-3.56	11.63
1864-6-4	8.13	-3.70	12.06
1864-6-11	8.27	-4.09	12.61
1864-6-18	9.22	-3.15	12.56
1864-6-25	9.76	-3.69	13.70
1864-7-2	12.57	-2.71	15.49
1864-7-9	12.57	-4.46	17.41
1864-7-16	12.28	-3.59	16.17
1864-7-23	14.31	-2.12	16.61
1864-7-30	11.15	-4.56	16.07
1864-8-6	12.28	-4.25	16.90
1864-8-13	11.43	-4.67	16.49
1864-8-20	11.57	-4.43	16.36
1864-8-27	11.43	-4.27	16.05
1864-9-3	13.29	-2.94	16.47
1864-9-10	13.44	-1.55	15.10
1864-9-17	13.44	-0.95	14.46
1864-9-24	12.00	-1.83	13.96
1864-10-1	11.72	-1.14	12.93
1864-10-8	12.28	-1.16	13.52
1864-10-15	11.86	-2.33	14.36
1864-10-22	11.72	-2.18	14.05
1864-10-29	11.43	-2.96	14.61
1864-11-5	10.87	-4.79	16.04
1864-11-12	10.73	-5.08	16.23
1864-11-19	9.49	-4.35	14.15
1864-11-26	9.49	-4.42	14.22
1864-12-3	8.66	-6.41	15.58
1864-12-12	8.39	-7.07	16.02
1864-12-19	8.53	-6.54	15.57
1864-12-26	9.63	-4.47	14.41
