"bidder_num","price_currency","amount","accepted","auction","current_yield1","current_yield2","price_gold","gold_rate","ytm1","ytm2","ytm3"
1,96,2,2,"1861-02-13; Loan of Feb 1861",0.0625,0.0625,96,1,0.0633246247292706,0.0633246247292706,0.0633246247292706
2,94.01,10,10,"1861-02-13; Loan of Feb 1861",0.0638229975534518,0.0638229975534518,94.01,1,0.0651453570952741,0.0651453570952741,0.0651453570952741
2,94.51,10,10,"1861-02-13; Loan of Feb 1861",0.0634853454660882,0.0634853454660882,94.51,1,0.0646829059989452,0.0646829059989452,0.0646829059989452
3,93.5,40,40,"1861-02-13; Loan of Feb 1861",0.0641711229946524,0.0641711229946524,93.5,1,0.0656205805604687,0.0656205805604687,0.0656205805604687
4,93,2,2,"1861-02-13; Loan of Feb 1861",0.0645161290322581,0.0645161290322581,93,1,0.0660899887929909,0.0660899887929909,0.0660899887929909
5,93,10,10,"1861-02-13; Loan of Feb 1861",0.0645161290322581,0.0645161290322581,93,1,0.0660899887929909,0.0660899887929909,0.0660899887929909
6,92.5,25,25,"1861-02-13; Loan of Feb 1861",0.0648648648648649,0.0648648648648649,92.5,1,0.0665629143350448,0.0665629143350448,0.0665629143350448
7,92.5,6,6,"1861-02-13; Loan of Feb 1861",0.0648648648648649,0.0648648648648649,92.5,1,0.0665629143350448,0.0665629143350448,0.0665629143350448
8,91,5,5,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
8,92,5,5,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0652173913043478,92,1,0.0670394069840293,0.0670394069840293,0.0670394069840293
8,92.5,5,5,"1861-02-13; Loan of Feb 1861",0.0648648648648649,0.0648648648648649,92.5,1,0.0665629143350448,0.0665629143350448,0.0665629143350448
8,93,5,5,"1861-02-13; Loan of Feb 1861",0.0645161290322581,0.0645161290322581,93,1,0.0660899887929909,0.0660899887929909,0.0660899887929909
8,93.5,5,5,"1861-02-13; Loan of Feb 1861",0.0641711229946524,0.0641711229946524,93.5,1,0.0656205805604687,0.0656205805604687,0.0656205805604687
9,90.1,30,0,"1861-02-13; Loan of Feb 1861",0.0665926748057714,0.0665926748057714,90.1,1,0.0688835203958857,0.0688835203958857,0.0688835203958857
9,91.1,25,25,"1861-02-13; Loan of Feb 1861",0.0658616904500549,0.0658616904500549,91.1,1,0.0679062457709257,0.0679062457709257,0.0679062457709257
9,92.1,20,20,"1861-02-13; Loan of Feb 1861",0.0651465798045603,0.0651465798045603,92.1,1,0.06694382066108,0.06694382066108,0.06694382066108
9,93.1,15,15,"1861-02-13; Loan of Feb 1861",0.0644468313641246,0.0644468313641246,93.1,1,0.0659958273374558,0.0659958273374558,0.0659958273374558
9,94.1,10,10,"1861-02-13; Loan of Feb 1861",0.0637619553666312,0.0637619553666312,94.1,1,0.0650618648933108,0.0650618648933108,0.0650618648933108
9,95.1,10,10,"1861-02-13; Loan of Feb 1861",0.0630914826498423,0.0630914826498423,95.1,1,0.0641415483562828,0.0641415483562828,0.0641415483562828
9,96.1,10,10,"1861-02-13; Loan of Feb 1861",0.0624349635796046,0.0624349635796046,96.1,1,0.0632345078597286,0.0632345078597286,0.0632345078597286
10,92,3,3,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0652173913043478,92,1,0.0670394069840293,0.0670394069840293,0.0670394069840293
11,92,1,1,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0652173913043478,92,1,0.0670394069840293,0.0670394069840293,0.0670394069840293
12,91,10,10,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
12,92,20,20,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0652173913043478,92,1,0.0670394069840293,0.0670394069840293,0.0670394069840293
12,93,10,10,"1861-02-13; Loan of Feb 1861",0.0645161290322581,0.0645161290322581,93,1,0.0660899887929909,0.0660899887929909,0.0660899887929909
13,90.5,10,10,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
13,92,40,40,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0652173913043478,92,1,0.0670394069840293,0.0670394069840293,0.0670394069840293
14,91.5,25,25,"1861-02-13; Loan of Feb 1861",0.0655737704918033,0.0655737704918033,91.5,1,0.0675195175655849,0.0675195175655849,0.0675195175655849
15,90,10,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0666666666666667,90,1,0.0689820811892494,0.0689820811892494,0.0689820811892494
15,91,10,10,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
15,91.5,10,10,"1861-02-13; Loan of Feb 1861",0.0655737704918033,0.0655737704918033,91.5,1,0.0675195175655849,0.0675195175655849,0.0675195175655849
15,92,10,10,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0652173913043478,92,1,0.0670394069840293,0.0670394069840293,0.0670394069840293
15,92.5,10,10,"1861-02-13; Loan of Feb 1861",0.0648648648648649,0.0648648648648649,92.5,1,0.0665629143350448,0.0665629143350448,0.0665629143350448
16,90,6,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0666666666666667,90,1,0.0689820811892494,0.0689820811892494,0.0689820811892494
16,93,5,5,"1861-02-13; Loan of Feb 1861",0.0645161290322581,0.0645161290322581,93,1,0.0660899887929909,0.0660899887929909,0.0660899887929909
17,91.25,30,30,"1861-02-13; Loan of Feb 1861",0.0657534246575342,0.0657534246575342,91.25,1,0.067760945752218,0.067760945752218,0.067760945752218
18,90,5,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0666666666666667,90,1,0.0689820811892494,0.0689820811892494,0.0689820811892494
18,90.26,25,25,"1861-02-13; Loan of Feb 1861",0.0664746288499889,0.0664746288499889,90.26,1,0.0687261408379886,0.0687261408379886,0.0687261408379886
18,91,5,5,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
18,92.26,31,31,"1861-02-13; Loan of Feb 1861",0.0650336006936917,0.0650336006936917,92.26,1,0.0667911825267608,0.0667911825267608,0.0667911825267608
19,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
19,91,60,60,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
19,91.5,50,50,"1861-02-13; Loan of Feb 1861",0.0655737704918033,0.0655737704918033,91.5,1,0.0675195175655849,0.0675195175655849,0.0675195175655849
19,92,10,10,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0652173913043478,92,1,0.0670394069840293,0.0670394069840293,0.0670394069840293
20,91.05,30,30,"1861-02-13; Loan of Feb 1861",0.0658978583196046,0.0658978583196046,91.05,1,0.0679547532797362,0.0679547532797362,0.0679547532797362
21,90,15,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0666666666666667,90,1,0.0689820811892494,0.0689820811892494,0.0689820811892494
21,90.625,5,5,"1861-02-13; Loan of Feb 1861",0.0662068965517241,0.0662068965517241,90.625,1,0.0683685733973793,0.0683685733973793,0.0683685733973793
21,91.125,5,5,"1861-02-13; Loan of Feb 1861",0.065843621399177,0.065843621399177,91.125,1,0.0678820059398866,0.0678820059398866,0.0678820059398866
21,91.625,20,20,"1861-02-13; Loan of Feb 1861",0.0654843110504775,0.0654843110504775,91.625,1,0.0673991479200358,0.0673991479200358,0.0673991479200358
21,92.125,5,5,"1861-02-13; Loan of Feb 1861",0.0651289009497965,0.0651289009497965,92.125,1,0.0669199466438172,0.0669199466438172,0.0669199466438172
22,91,20,20,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
23,90,10,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0666666666666667,90,1,0.0689820811892494,0.0689820811892494,0.0689820811892494
23,91,10,10,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
23,92,10,10,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0652173913043478,92,1,0.0670394069840293,0.0670394069840293,0.0670394069840293
24,91,2,2,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
25,91,2,2,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
26,91,5,5,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
27,91,8,8,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
28,90,25,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0666666666666667,90,1,0.0689820811892494,0.0689820811892494,0.0689820811892494
28,90.5,28,28,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
28,91,28,28,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
28,92,25,25,"1861-02-13; Loan of Feb 1861",0.0652173913043478,0.0652173913043478,92,1,0.0670394069840293,0.0670394069840293,0.0670394069840293
28,94,4,4,"1861-02-13; Loan of Feb 1861",0.0638297872340425,0.0638297872340425,94,1,0.0651546408408902,0.0651546408408902,0.0651546408408902
29,90,25,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0666666666666667,90,1,0.0689820811892494,0.0689820811892494,0.0689820811892494
29,90.13,15,0,"1861-02-13; Loan of Feb 1861",0.0665705092643959,0.0665705092643959,90.13,1,0.0688539819808644,0.0688539819808644,0.0688539819808644
29,90.57,15,15,"1861-02-13; Loan of Feb 1861",0.0662471016893011,0.0662471016893011,90.57,1,0.0684223245783065,0.0684223245783065,0.0684223245783065
29,91.03,15,15,"1861-02-13; Loan of Feb 1861",0.0659123365923322,0.0659123365923322,91.03,1,0.0679741666888343,0.0679741666888343,0.0679741666888343
29,91.83,15,15,"1861-02-13; Loan of Feb 1861",0.0653381247958184,0.0653381247958184,91.83,1,0.0672022360718493,0.0672022360718493,0.0672022360718493
29,92.01,15,15,"1861-02-13; Loan of Feb 1861",0.06521030322791,0.06521030322791,92.01,1,0.0670298418463849,0.0670298418463849,0.0670298418463849
30,90,10,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0666666666666667,90,1,0.0689820811892494,0.0689820811892494,0.0689820811892494
30,90.5,10,10,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
30,91,20,20,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
30,91.5,10,10,"1861-02-13; Loan of Feb 1861",0.0655737704918033,0.0655737704918033,91.5,1,0.0675195175655849,0.0675195175655849,0.0675195175655849
31,90.5,100,100,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
31,91,100,100,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
32,90.75,5,5,"1861-02-13; Loan of Feb 1861",0.0661157024793388,0.0661157024793388,90.75,1,0.0682465808501253,0.0682465808501253,0.0682465808501253
33,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
33,91,50,50,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
34,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
34,91,50,50,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
35,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
35,91,50,50,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
36,90.41,10,10,"1861-02-13; Loan of Feb 1861",0.0663643402278509,0.0663643402278509,90.41,1,0.0685789512293579,0.0685789512293579,0.0685789512293579
36,90.51,10,10,"1861-02-13; Loan of Feb 1861",0.0662910175671197,0.0662910175671197,90.51,1,0.0684810142467797,0.0684810142467797,0.0684810142467797
36,90.76,10,10,"1861-02-13; Loan of Feb 1861",0.0661084178052005,0.0661084178052005,90.76,1,0.0682368315814469,0.0682368315814469,0.0682368315814469
36,90.91,10,10,"1861-02-13; Loan of Feb 1861",0.0659993400065999,0.0659993400065999,90.91,1,0.0680907722378733,0.0680907722378733,0.0680907722378733
36,91.02,10,10,"1861-02-13; Loan of Feb 1861",0.0659195781147001,0.0659195781147001,91.02,1,0.0679838756248583,0.0679838756248583,0.0679838756248583
37,90.01,5,0,"1861-02-13; Loan of Feb 1861",0.0666592600822131,0.0666592600822131,90.01,1,0.0689722182196681,0.0689722182196681,0.0689722182196681
37,90.51,5,5,"1861-02-13; Loan of Feb 1861",0.0662910175671197,0.0662910175671197,90.51,1,0.0684810142467797,0.0684810142467797,0.0684810142467797
37,90.52,5,5,"1861-02-13; Loan of Feb 1861",0.066283694211224,0.066283694211224,90.52,1,0.0684712288622355,0.0684712288622355,0.0684712288622355
37,90.53,5,5,"1861-02-13; Loan of Feb 1861",0.0662763724732133,0.0662763724732133,90.53,1,0.0684614449875263,0.0684614449875263,0.0684614449875263
37,90.64,5,5,"1861-02-13; Loan of Feb 1861",0.0661959399823478,0.0661959399823478,90.64,1,0.0683539218900509,0.0683539218900509,0.0683539218900509
37,90.76,5,5,"1861-02-13; Loan of Feb 1861",0.0661084178052005,0.0661084178052005,90.76,1,0.0682368315814469,0.0682368315814469,0.0682368315814469
37,90.78,5,5,"1861-02-13; Loan of Feb 1861",0.0660938532716457,0.0660938532716457,90.78,1,0.0682173375418677,0.0682173375418677,0.0682173375418677
37,90.89,5,5,"1861-02-13; Loan of Feb 1861",0.0660138629112113,0.0660138629112113,90.89,1,0.0681102273771301,0.0681102273771301,0.0681102273771301
37,91.01,5,5,"1861-02-13; Loan of Feb 1861",0.0659268212284364,0.0659268212284364,91.01,1,0.0679935860491023,0.0679935860491023,0.0679935860491023
37,91.02,5,5,"1861-02-13; Loan of Feb 1861",0.0659195781147001,0.0659195781147001,91.02,1,0.0679838756248583,0.0679838756248583,0.0679838756248583
37,91.26,5,5,"1861-02-13; Loan of Feb 1861",0.0657462195923734,0.0657462195923734,91.26,1,0.0677512709275706,0.0677512709275706,0.0677512709275706
38,90.6,40,40,"1861-02-13; Loan of Feb 1861",0.0662251655629139,0.0662251655629139,90.6,1,0.0683930001032759,0.0683930001032759,0.0683930001032759
39,90.53,100,100,"1861-02-13; Loan of Feb 1861",0.0662763724732133,0.0662763724732133,90.53,1,0.0684614449875263,0.0684614449875263,0.0684614449875263
40,90.5,5,5,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
41,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
42,90,1,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0666666666666667,90,1,0.0689820811892494,0.0689820811892494,0.0689820811892494
42,91,1,1,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
43,90.5,2,2,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
44,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
45,90.5,10,10,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
46,90.5,100,100,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
47,90.5,5,5,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0662983425414365,90.5,1,0.0684908011415957,0.0684908011415957,0.0684908011415957
48,90.25,1,1,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0664819944598338,90.25,1,0.0687359656321425,0.0687359656321425,0.0687359656321425
48,90.35,1,1,"1861-02-13; Loan of Feb 1861",0.0664084117321527,0.0664084117321527,90.35,1,0.0686377860941345,0.0686377860941345,0.0686377860941345
48,90.45,1,1,"1861-02-13; Loan of Feb 1861",0.066334991708126,0.066334991708126,90.45,1,0.068539758285059,0.068539758285059,0.068539758285059
48,90.55,1,1,"1861-02-13; Loan of Feb 1861",0.0662617338487024,0.0662617338487024,90.55,1,0.0684418817658659,0.0684418817658659,0.0684418817658659
48,90.65,1,1,"1861-02-13; Loan of Feb 1861",0.066188637617209,0.066188637617209,90.65,1,0.0683441560993468,0.0683441560993468,0.0683441560993468
49,90.27,200,200,"1861-02-13; Loan of Feb 1861",0.0664672648720505,0.0664672648720505,90.27,1,0.0687163175650898,0.0687163175650898,0.0687163175650898
49,90.55,100,100,"1861-02-13; Loan of Feb 1861",0.0662617338487024,0.0662617338487024,90.55,1,0.0684418817658659,0.0684418817658659,0.0684418817658659
49,90.6,100,100,"1861-02-13; Loan of Feb 1861",0.0662251655629139,0.0662251655629139,90.6,1,0.0683930001032759,0.0683930001032759,0.0683930001032759
50,90.4,3,3,"1861-02-13; Loan of Feb 1861",0.0663716814159292,0.0663716814159292,90.4,1,0.0685887532509641,0.0685887532509641,0.0685887532509641
51,90,15,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0666666666666667,90,1,0.0689820811892494,0.0689820811892494,0.0689820811892494
51,91,10,10,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0659340659340659,91,1,0.0680032979619944,0.0680032979619944,0.0680032979619944
52,86.55,1,0,"1861-02-13; Loan of Feb 1861",0.0693240901213172,0.0693240901213172,86.55,1,0.0724794628893408,0.0724794628893408,0.0724794628893408
52,87.55,1,0,"1861-02-13; Loan of Feb 1861",0.0685322672758424,0.0685322672758424,87.55,1,0.0714458232745231,0.0714458232745231,0.0714458232745231
52,88.55,2,0,"1861-02-13; Loan of Feb 1861",0.0677583286278938,0.0677583286278938,88.55,1,0.0704286668828535,0.0704286668828535,0.0704286668828535
52,89.55,3,0,"1861-02-13; Loan of Feb 1861",0.0670016750418761,0.0670016750418761,89.55,1,0.0694275080801126,0.0694275080801126,0.0694275080801126
52,90.55,3,3,"1861-02-13; Loan of Feb 1861",0.0662617338487024,0.0662617338487024,90.55,1,0.0684418817658659,0.0684418817658659,0.0684418817658659
52,91.55,2,2,"1861-02-13; Loan of Feb 1861",0.0655379574003277,0.0655379574003277,91.55,1,0.0674713422302321,0.0674713422302321,0.0674713422302321
52,92.55,1,1,"1861-02-13; Loan of Feb 1861",0.0648298217179903,0.0648298217179903,92.55,1,0.0665154620906517,0.0665154620906517,0.0665154620906517
52,93.55,1,1,"1861-02-13; Loan of Feb 1861",0.0641368252271513,0.0641368252271513,93.55,1,0.0655738313020464,0.0655738313020464,0.0655738313020464
52,94.55,1,1,"1861-02-13; Loan of Feb 1861",0.0634584875727129,0.0634584875727129,94.55,1,0.0646460562343562,0.0646460562343562,0.0646460562343562
