year	q1	q2	q3	q4
1791	-0.61	-0.12	0.69	-0.29
1792	-2.37	-3.66	-2.05	-3.01
1793	-4.04	-1.92	1.35	1.68
1794	0.69	0.74	3.45	4.20
1795	-1.64	-2.28	-2.92	-5.72
1796	-14.08	-9.38	-7.96	-6.55
1797	2.81	1.23	-4.67	-4.12
1798	-4.46	-4.52	-6.28	-8.17
1799	-5.35	-10.62	-9.21	-2.65
1800	4.35	7.99	8.00	9.60
1801	6.93	8.41	8.62	10.07
1802	9.68	7.64	5.54	5.05
1803	4.37	6.18	5.02	7.30
1804	9.47	7.02	2.16	0.50
1805	-0.59	-5.05	-4.30	2.10
1806	3.89	4.30	3.43	4.17
1807	4.38	2.80	4.19	4.03
1808	-2.19	1.09	2.43	6.01
1809	6.99	0.85	4.39	3.90
1810	0.86	1.61	4.30	2.85
1811	0.52	-0.93	-3.80	-2.95
1812	-5.95	-7.08	-5.12	-0.67
1813	-0.86	2.02	4.31	7.24
1814	17.81	20.45	-5.63	-2.21
1815	2.47	14.08	0.40	2.69
1816	2.78	-4.09	0.07	-0.88
1817	0.67	4.01	3.65	6.23
1818	6.67	6.46	5.63	4.26
1819	6.88	3.18	-1.40	-0.10
1820	-4.17	-6.79	-4.92	-4.31
1821	-4.99	0.30	0.77	2.15
1822	5.29	3.57	2.79	4.81
1823	2.84	-1.95	-0.40	0.06
1824	0.72	1.34	1.34	1.81
1825	2.58	0.27	-0.30	2.57
1826	1.20	2.11	3.55	4.30
1827	3.44	3.07	3.02	3.48
1828	2.91	3.06	2.76	2.63
1829	1.32	1.32	1.70	1.83
1830	0.86	-0.51	-1.61	-1.17
1831	-0.62	1.03	2.87	3.24
1832	2.48	2.58	0.91	0.86
1833	-0.60	-0.30	-0.19	-1.54
1834	-6.55	-4.67	-3.33	-1.99
1835	-1.94	0.75	0.37	0.10
1836	-0.06	-1.54	-1.07	-0.73
1837	-0.17	-0.19	-0.38	-0.10
1838	-4.27	-1.05	0.09	0.55
1839	0.30	0.00	1.43	-0.63
1840	-1.89	-0.80	-1.26	-1.08
1841	-1.25	0.08	0.37	2.03
1842	-0.29	-1.74	-2.27	-2.63
1843	-3.36	-1.10	-0.28	-0.75
1844	-0.41	-0.22	0.49	0.56
1845	0.53	0.66	0.65	-0.45
1846	0.09	-0.23	-1.02	-2.02
1847	-2.63	-2.00	-1.86	1.47
1848	1.12	1.04	0.31	-1.31
1849	-1.19	-1.94	-0.05	-0.15
1850	-0.67	0.48	0.39	1.11
1851	1.02	1.38	1.11	1.29
1852	0.88	0.91	1.28	0.85
1853	0.60	0.74	0.37	1.03
1854	0.18	0.78	1.04	0.33
1855	0.19	1.23	0.98	0.14
1856	0.74	1.32	1.14	1.07
1857	0.31	1.08	0.60	0.82
1858	-1.69	0.39	0.74	0.54
1859	0.53	1.10	1.16	0.90
1860	-0.02	0.56	1.04	-2.00
1861	-2.70	-2.89	-0.58	-0.50
1862	0.89	2.03	0.93	0.81
1863	3.22	-1.86	0.11	0.25
1864	0.68	1.72	1.90	3.33
1865	1.00	1.66	0.29	0.98
1866	0.16	1.46	0.30	0.62
1867	0.22	0.83	0.81	1.17
1868	0.73	1.05	0.79	0.83
1869	0.03	0.57	0.88	0.21
1870	-0.14	0.45	0.97	0.30
1871	0.81	1.18	0.43	0.26
1872	0.32	0.19	-0.17	-0.65
1873	0.50	0.93	0.37	0.73
1874	0.27	0.82	0.60	0.63
1875	0.23	0.83	0.41	-0.02
1876	0.66	0.73	0.44	-0.39
1877	-0.13	0.70	0.12	-0.48
1878	-0.12	0.38	0.17	0.09
1879	0.47	0.53	-0.26	-0.52
1880	0.01	0.45	-0.34	-0.64
1881	-0.47	-0.58	-0.32	-0.39
1882	0.54	0.71	0.51	-0.20
1883	-0.21	0.23	0.10	-0.27
1884	0.46	0.35	-0.25	-0.32
1885	0.08	0.35	-0.01	0.00
1886	0.66	0.63	-0.06	-0.36
1887	0.28	0.22	-0.31	-0.11
1888	0.20	0.53	0.40	0.47
1889	0.56	0.63	0.37	-0.09
1890	0.04	0.21	0.22	-0.09
1891	0.34	0.53	-0.05	-0.39
1892	0.23	0.48	0.46	0.25
1893	0.42	0.45	-0.07	-0.14
1894	0.37	0.61	0.33	0.42
1895	0.64	0.63	0.80	0.60
1896	0.55	0.59	0.27	-0.05
1897	0.27	0.33	0.08	-0.11
1898	-0.21	-0.12	-0.12	-0.17
1899	-0.08	0.31	0.16	0.17
1900	0.23	0.37	0.30	-0.23
