issue,date,london_60_days,london_mercantile,london_lading,paris,amsterdam,bremen,hamburg,frankfort,url
9/26/1859,5/26/1859,100@100.25,109@110,108.5@109,5.10@5.0875,42.5@42.75,79.75@80,37.5@37.75,,http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA327
9/26/1859,6/26/1859,110.25@110.75,109.75@110.25,109@109.5,5.10@5.08.75,42.25@42.625,80.5@80.5,37.625@37.75,,http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA327
9/26/1859,7/26/1859,109.875@110,109.5@109.875,109@109.5,5.1725@5.15,42.25@42.5,79.5@79.75,87@87.25,,http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA327
9/26/1859,8/26/1859,110.25@110.375,109.5@110.125,109@109.5,5.15@5.125,42.125@42.25,79.24@79.5,37.125@37.25,,http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA327
12/27/1859,9/26/1859,110.25@110.375,109.5@110.125,109@109.5,5.15@5.125,42.5@42.25,79.25@79.5,87.125@87.25,,http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA575
12/27/1859,10/26/1859,110@110.25,109.25@110,109@109.75,5.15@5.125,42.5@42.25,79.75@79.5,35.875@37.5,,http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA575
12/27/1859,11/26/1859,109.875@110,109.75@109.875,109@109.5,5.15@5.1325,42@42.125,79.75@79.875,37@37.5,,http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA575
12/27/1859,12/26/1859,109.5@109.625,109.25@109.5,108.5@109,5.1625@5.15,41.5@41.75,79.5@79.625,36.75@36.78,,http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA575
1/22/1860,4/24/1860,108.75@109,108.375@108.75,107.5@108,5.1875@5.18125,41.25@41.5,78.875@79,36.625@36.75,,http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA918
2/22/1860,4/24/1860,109@109.125,108.75@108.875,107.5@108,5.165@5.15,41.5@41.75,78.75@78.875,36.375@36.75,,http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA918
3/24/1860,4/24/1860,108.75@108.875,108.25@108.625,107@108.25,5.175@5.1625,41.5@41.75,48.5@78.75,36.375@36.75,,http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA918
4/24/1860,4/24/1860,109.125@109.25,108.5@109,107@108.5,5.15@5.1625,41.375@41.75,78.75@79,36.75@36.875,,http://books.google.com/books?id=H1smAQAAIAAJ&pg=PA918
5/25/1860,8/25/1860,109.625@109.75,109@109.5,108@109,5.13125@5.125,41.75@41.875,78.75@79,37@37.125,,http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA253
6/25/1860,8/25/1860,109.75@109.875,109.25@109.75,108.5@109.5,5.13125@5.125,41.75@42,78.75@79,36.75@37,,http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA253
7/24/1860,8/25/1860,109.875@110,109.25@109.75,108.5@109.25,5.135@5.1125,41.625@41.75,79.25@79.5,37@37.125,,http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA253
8/24/1860,8/25/1860,109.875@110,108.5@109.25,107@109,5.135@5.1125,41.75@41.875,79.5@79.75,37@37.125,,http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA253
9/25/1860,12/24/1860,109.5@109.75,108.5@109.5,108@108.5,5.15@5.125,41.625@41.75,79.5@79.625,36.875@37,,http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA589
10/20/1860,12/24/1860,108.75@108.125,107.5@108.5,106@107.5,5.175@5.1625,41.625@41.375,78.75@79,36.5@36.75,,http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA589
11/24/1860,12/24/1860,104@105,100@104,102@104,5.30@5.25,40.5@40.75,76@76.5,38.5@.,,http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA589
12/24/1860,12/24/1860,103.5@104.5,100@102,100@102,5.45@5.35,40@40.25,76@76.25,35@35.5,,http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA589
1/24/1861,4/25/1861,105.5@106.25,104@104.5,103@104,5.4@5.3,40.5@40.75,76.5@76.75,35.5@36,,http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA918
2/22/1861,4/25/1861,105.5@106,104.5@105,103@104,5.35@5.325,40@40.75,76.75@77,35.5@35.75,,http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA918
3/23/1861,4/25/1861,107.5@107.75,106.5@107.5,106@107,5.285@5.25,40@40.75,77.5@78,36@36.25,,http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA918
4/20/1861,4/25/1861,106.25@106.5,105@106,105@105.5,5.35@5.30,39.5@40,76.75@77,35.5@35.75,,http://books.google.com/books?id=KVwmAQAAIAAJ&pg=PA918
5/22/1861,8/24/1861,105.5@106.25,105@106,103.5@104.5,5.45@5.25,39@40,77@78,35@35.75,,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA239
6/24/1861,8/24/1861,105.5@105.75,104.5@105,102.5@104,5.40@5.37,39@39.75,75.25@76.25,34.75@35.25,,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA239
7/24/1861,8/24/1861,107.25@107.75,105.75@106.5,104.5@105.5,5.30@5.275,40.75@41,77.75@78,35.75@36,,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA239
8/24/1861,8/24/1861,107.375@107.75,106.5@107.25,105@106,5.40@5.30,39.625@40.25,75.5@77,35@35.5,,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA239
9/24/1861,12/28/1861,108@108.5,107.5@108,106.5@107,5.375@5.3,39.5@40,76.5@77.5,35@35.5,40.25@40.5,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA559
10/24/1861,12/28/1861,107.5@108,107@107.5,105@106,5.3875@5.35,40.125@40.25,77.25@77.5,35.5@35.75,40.25@43.375,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA559
11/21/1861,12/28/1861,109@109.5,108@109,107@107.5,5.25@5.15,40.625@40.75,79.25@79.5,35.75@36,41@41.5,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA559
12/24/1861,12/28/1861,110.5@110.75,109.5@109.75,108@108.5,5.15@5.10,41.5@41.75,80@80.5,36.75@37,41.75@41,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA559
1/24/1862,4/24/1862,113@114,112@113,109@110,5.05@4.95,43@43.5,81.5@82,38@38.5,43@43.25,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA909
2/22/1862,4/24/1862,113.5@114,112@113,110@111,5.05@4.975,43.75@43,83@83.25,37.75@38,43.25@43.5,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA909
3/24/1862,4/24/1862,111.5@112,109.5@110,109.5@110,5.1@5,43.75@43,80.5@81,37@37.25,42.5@42.75,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA909
4/22/1862,4/24/1862,112@112.25,111.5@112.75,110@111,5.1@5.05,42.5@43,81@81.25,37.25@37.375,42.5@42.75,http://books.google.com/books?id=B10mAQAAIAAJ&pg=PA909
5/22/1862,8/23/1862,113.875@114,113.25@113.625,112.5@113,4.975@4.9375,42.75@43,82@82.25,37.75@38,42.75@43,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA239
6/22/1862,8/23/1862,117.5@118,117@117.5,115.5@116.5,4.8125@4.7625,43.75@44.5,84@84.75,39@39.5,44.625@44.75,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA239
7/23/1862,8/23/1862,131.5@132,130@130.5,129@129.5,4.35@4.30,48.5@49.5,92.5@94.5,43.5@99.5,48.75@49.25,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA239
8/23/1862,8/23/1862,127.25@128,126@127,125.5@126,4.45@4.375,47.25@47.75,90.75@92,42.5@43,47.5@48,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA239
9/23/1862,11/24/1862,129@129.5,128.5@129,128@128.5,4.425@4.35,48@49,92@93,42@43,48.75@49.25,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA478
10/23/1862,11/24/1862,145@147,143@145,142@143,4.00@3.85,53.5@55,102@104,47@49,54.5@55.5,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA478
11/24/1862,11/24/1862,144@145,142@143,140@141,3.9@3.85,55@55.25,105@105.5,43.25@43.5,55@55.5,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA478
12/24/1863,1/24/1863,145.25@146,144@145,143.25@144.25,3.9@3.8875,55.25@55.75,105@105.5,48.25@49.25,55.25@55.75,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA656
1/24/1863,1/24/1863,160.5@162,159@160,158@160,3.47@3.45,60@61,115@117,53.5@54.5,62@63,http://books.google.com/books?id=tF0mAQAAIAAJ&pg=PA656
