series,issue,date,url,volume,value,is_clean,adjust_gold,adjust_currency,notes
"California 7 per cents, 1870",1855-04-24,1855-04-13,http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918,9,93,0,,,"No year listed, but set to 1870 because that is what is quoted in the tables starting in 1855."
"California 7 per cents, 1870",1855-04-24,1855-04-20,http://books.google.com/books?id=FFcmAQAAIAAJ&pg=PA918,9,90.5,0,,,"No year listed, but set to 1870 because that is what is quoted in the tables starting in 1855."
"California 7 per cents, 1870",1855-08-24,1855-07-13,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246,10,86,0,,,
"California 7 per cents, 1870",1855-08-24,1855-07-20,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246,10,85.75,0,,,
"California 7 per cents, 1870",1855-08-24,1855-07-27,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246,10,87,0,,,
"California 7 per cents, 1870",1855-08-24,1855-08-03,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246,10,86.75,0,,,
"California 7 per cents, 1870",1855-08-24,1855-08-10,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246,10,86.875,0,,,
"California 7 per cents, 1870",1855-08-24,1855-08-17,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA246,10,87.125,0,,,
"California 7 per cents, 1870",1855-09-26,1855-08-24,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334,10,87,0,,,
"California 7 per cents, 1870",1855-09-26,1855-08-31,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334,10,87,0,,,
"California 7 per cents, 1870",1855-09-26,1855-09-07,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334,10,88,0,,,
"California 7 per cents, 1870",1855-09-26,1855-09-14,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334,10,87.5,0,,,
"California 7 per cents, 1870",1855-09-26,1855-09-21,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334,10,87,0,,,
"California 7 per cents, 1870",1855-10-26,1855-09-28,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414,10,87.25,0,,,
"California 7 per cents, 1870",1855-10-26,1855-10-05,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414,10,86,0,,,
"California 7 per cents, 1870",1855-10-26,1855-10-12,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414,10,84,0,,,
"California 7 per cents, 1870",1855-10-26,1855-10-26,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414,10,85,0,,,
"California 7 per cents, 1870",1855-11-26,1855-11-02,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495,10,87,0,,,
"California 7 per cents, 1870",1855-11-26,1855-11-09,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495,10,84.5,0,,,
"California 7 per cents, 1870",1855-11-26,1855-11-16,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495,10,84,0,,,
"California 7 per cents, 1870",1855-11-26,1855-11-23,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA495,10,85,0,,,
"California 7 per cents, 1870",1855-09-26,1855-8-17,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334,10,87.5,0,,,
"California 7 per cents, 1870",1856-02-23,1856-01-18,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750,10,84.5,0,,,
"California 7 per cents, 1870",1856-02-23,1856-01-25,http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750,10,84.25,0,,,
