series,longname
california_7pct_1870,"California 7 per cents, 1870"
california_7pct_1877,"California 7 per cents, 1877"
georgia_6pct,Georgia 6 per cents
indiana_5pct,Indiana 5 per cents
indiana_6pct,Indiana 6 per cents
kentucky_6pct,Kentucky 6 per cents
louisiana_6pct,Louisiana 6 per cents
missouri_6pct,Missouri 6 per cents
north_carolina_6pct,North Carolina 6 per cents
ohio_6pct_1875,"Ohio 6 per cents, 1875"
ohio_6pct_1886,"Ohio 6 per cents, 1886"
pennsylvania_5pct,Pennsylvania 6 per cents
tennessee_6pct,Tennessee 6 per cents
US_5pct_1874,"U.S. 5 per cents, 1874"
US_6pct_1868,"U.S. 6 per cents, 1867-8"
US_6pct_1881,"U.S. 6 per cents, 1881"
virginia_6pct,Virginia 6 per cents
