date,url,issue,city,rate_low,rate_high,currency,comment
1860-01-01,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860,London,109,109.375,FALSE,
1860-01-15,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860,London,108.5,109,FALSE,
1860-02-01,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860,London,108.875,109,FALSE,
1860-02-15,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860,London,108.125,109,FALSE,
1860-03-01,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860,London,108.675,109,FALSE,
1860-03-15,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860,London,108.675,108.875,FALSE,
1860-04-01,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860,London,108.675,108.875,FALSE,
1860-04-15,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860,London,108.675,108.875,FALSE,
1860-05-01,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,109.25,109.5,FALSE,
1860-05-15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,109.375,109.625,FALSE,
1860-06-01,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,109.625,109.75,FALSE,
1860-06-15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,109.5,109.75,FALSE,
1860-07-01,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,109.5,109.875,FALSE,
1860-07-15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,109.5,109.875,FALSE,
1860-08-01,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,109.625,109.875,FALSE,
1860-08-15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,109.625,110,FALSE,
1860-09-01,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,109.75,110,FALSE,
1860-09-15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,109.75,109.875,FALSE,
1860-10-01,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,109.125,109.675,FALSE,
1860-10-15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,108.25,109,FALSE,
1860-11-01,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,108,108.625,FALSE,
1860-11-15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861,London,105,106.75,FALSE,
1860-12-01,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861,London,101,105,FALSE,
1860-12-15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861,London,101,104,FALSE,
1861-01-01,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861,London,102.5,105,FALSE,
1861-01-15,,,London,105.75,106.5,FALSE,
1861-02-01,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861,London,105,106,FALSE,
1861-02-15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861,London,102,105.5,FALSE,
1861-03-01,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861,London,103.5,106,FALSE,
1861-03-15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861,London,106,106.75,FALSE,
1861-12-01,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862,London,109,109.5,FALSE,
1861-12-15,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862,London,110.5,110.75,FALSE,
1862-01-01,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862,London,110.5,113,TRUE,
1862-01-15,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862,London,113.5,114,TRUE,
1862-02-01,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862,London,113,113.5,TRUE,
1862-02-15,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862,London,115,115.5,TRUE,
1862-03-01,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862,London,112,113,TRUE,
1862-03-15,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862,London,112.25,112.5,TRUE,
1862-03-22,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862,London,111,112.25,TRUE,
1862-03-29,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862,London,111,112,TRUE,
1862-04-05,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862,London,111.5,112.5,TRUE,
1862-04-12,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862,London,111.75,112.5,TRUE,
1862-04-19,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862,London,111.875,112.25,TRUE,
1862-04-26,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862,London,111.5,112.5,TRUE,
1862-05-02,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862,London,112.5,113.5,TRUE,
1862-05-10,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862,London,113,114,TRUE,
1862-05-17,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862,London,113,114,TRUE,
1862-05-31,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862,London,114.5,115,TRUE,
1862-06-07,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862,London,114,114.75,TRUE,
1862-06-14,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862,London,114,115,TRUE,
1862-06-26,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862,London,117.25,118,TRUE,
1862-07-05,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,120.5,121,TRUE,
1862-07-12,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,127,129,TRUE,
1862-07-19,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,128.5,131,TRUE,
1862-07-27,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,126,129,TRUE,
1862-08-02,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,125,127,TRUE,
1862-08-09,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,124,126,TRUE,
1862-08-16,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,126.5,127.5,TRUE,
1862-08-23,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,126.75,128,TRUE,
1862-08-30,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,126.75,127.75,TRUE,
1862-09-06,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,128.75,130,TRUE,
1862-09-13,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,126.5,131,TRUE,
1862-09-20,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,128.25,129.5,TRUE,
1862-09-27,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,128.5,129.5,TRUE,
1862-10-04,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,134.5,135.5,TRUE,
1862-10-11,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,137.5,142.5,TRUE,
1862-10-18,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,148,152,TRUE,
1862-10-25,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,143,145.5,TRUE,
1862-11-01,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,143.5,145.75,TRUE,
1862-11-08,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,145.5,147,TRUE,
1862-11-15,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,145.5,145.75,TRUE,
1862-11-23,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,143.5,144.75,TRUE,
1862-11-30,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,141,142,TRUE,
1862-12-06,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,144.5,147,TRUE,
1862-12-13,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,144.5,146,TRUE,
1862-12-20,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,144.5,146,TRUE,
1862-12-27,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863,London,146.5,147.5,TRUE,
1863-01-03,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,146,147.5,TRUE,
1863-01-10,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,149,152,TRUE,
1863-01-17,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,160,162,TRUE,
1863-01-24,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,162.5,163,TRUE,
1863-01-31,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,171,177,TRUE,
1863-02-07,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,169,173,TRUE,
1863-02-14,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,170,171,TRUE,
1863-02-21,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,171,179.5,TRUE,
1863-02-28,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,185,188,TRUE,
1863-03-07,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,167,169,TRUE,
1863-03-14,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,168,171,TRUE,
1863-03-21,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31,Jan 1864,London,169.5,171.75,TRUE,
